,ID,Cases
0,1584136800000,1
1,1584396000000,2
2,1584655200000,3
3,1584741600000,5
4,1584828000000,6
5,1585000800000,7
6,1585087200000,8
7,1585605600000,9
8,1585778400000,12
9,1586210400000,13
10,1586383200000,14
11,1586642400000,15
12,1586728800000,16
13,1586901600000,18
14,1586988000000,23
15,1587074400000,31
16,1587160800000,41
17,1587247200000,62
18,1587333600000,64
19,1587420000000,83
20,1587506400000,114
21,1587592800000,126
22,1587679200000,151
23,1587765600000,169
24,1587852000000,170
25,1587938400000,174
26,1588024800000,180
27,1588111200000,197
28,1588197600000,210
29,1588284000000,216
30,1588370400000,218
31,1588456800000,223
32,1588543200000,236
33,1588629600000,248
34,1588716000000,265
35,1588802400000,275
36,1588888800000,298
37,1588975200000,312
38,1589061600000,322
39,1589148000000,339
40,1589234400000,360
41,1589320800000,391
42,1589407200000,432
43,1589493600000,463
44,1589580000000,489
45,1589666400000,514
46,1589752800000,528
47,1589839200000,609
48,1589925600000,710
49,1590012000000,789
50,1590098400000,871
51,1590184800000,974
52,1590271200000,1014
53,1590357600000,1060
54,1590444000000,1197
55,1590530400000,1310
56,1590616800000,1474
57,1590703200000,1629
58,1590789600000,1756
59,1590876000000,1828
60,1590962400000,1875
61,1591048800000,2044
62,1591135200000,2215
63,1591221600000,2363
64,1591308000000,2496
65,1591394400000,2632
66,1591480800000,2706
67,1591567200000,2766
68,1591653600000,2940
69,1591740000000,3124
70,1591826400000,3268
71,1591912800000,3411
72,1591999200000,3553
73,1592085600000,3623
74,1592172000000,3647
75,1592258400000,3858
76,1592344800000,3912
77,1592431200000,4135
78,1592517600000,4402
79,1592604000000,4589
80,1592690400000,4711
81,1592776800000,4774
82,1592863200000,5016
83,1592949600000,5279
84,1593036000000,5486
85,1593122400000,5732
86,1593208800000,5940
87,1593295200000,6035
88,1593381600000,6070
89,1593468000000,6242
90,1593554400000,6505
91,1593640800000,6716
92,1593727200000,6914
93,1593813600000,7169
94,1593900000000,7296
95,1593986400000,7348
96,1594072800000,7529
97,1594159200000,7712
98,1594245600000,7881
99,1594332000000,8037
100,1594418400000,8201
101,1594504800000,8305
102,1594591200000,8321
103,1594677600000,8440
104,1594764000000,8573
105,1594850400000,8715
106,1594936800000,8842
107,1595023200000,8965
108,1595109600000,9046
109,1595196000000,9070
110,1595282400000,9200
111,1595368800000,9311
112,1595455200000,9443
113,1595541600000,9560
114,1595628000000,9656
115,1595714400000,9705
116,1595800800000,9733
117,1595887200000,9834
118,1595973600000,9951
119,1596060000000,10039
120,1596146400000,10117
121,1596232800000,10183
122,1596319200000,10209
123,1596405600000,10224
124,1596492000000,10332
125,1596578400000,10399
126,1596664800000,10449
127,1596751200000,10515
128,1596837600000,10558
129,1596924000000,10570
130,1597010400000,10577
131,1597096800000,10591
132,1597183200000,10673
133,1597269600000,10737
134,1597356000000,10792
135,1597442400000,10843
136,1597528800000,10865
137,1597615200000,10870
138,1597701600000,10939
139,1597788000000,10988
140,1597874400000,11023
141,1597960800000,11077
142,1598047200000,11114
143,1598133600000,11129
144,1598220000000,11137
145,1598306400000,11199
146,1598392800000,11239
147,1598479200000,11274
148,1598565600000,11300
149,1598652000000,11321
150,1598738400000,11325
151,1598824800000,11331
152,1598911200000,11361
153,1598997600000,11391
154,1599084000000,11420
155,1599170400000,11443
156,1599256800000,11475
157,1599343200000,11485
158,1599429600000,11488
159,1599516000000,11533
160,1599602400000,11555
161,1599688800000,11582
162,1599775200000,11611
163,1599861600000,11638
164,1599948000000,11641
165,1600034400000,11647
166,1600120800000,11696
167,1600207200000,11716
168,1600293600000,11736
169,1600380000000,11752
170,1600466400000,11770
171,1600639200000,11771
172,1600725600000,11803
173,1600812000000,11824
174,1600898400000,11840
175,1600984800000,11843
176,1601071200000,11860
177,1601157600000,11866
178,1601244000000,11868
179,1601330400000,11897
180,1601416800000,11906
181,1601503200000,11923
182,1601589600000,11948
183,1601676000000,11972
184,1601762400000,11974
185,1601848800000,11976
186,1601935200000,12019
187,1602021600000,12034
188,1602108000000,12060
189,1602194400000,12082
190,1602280800000,12106
191,1602367200000,12114
192,1602453600000,12117
193,1602540000000,12148
194,1602626400000,12165
195,1602712800000,12199
196,1602799200000,12214
197,1602885600000,12241
198,1602972000000,12245
199,1603058400000,12249
200,1603144800000,12275
201,1603231200000,12305
202,1603317600000,12322
203,1603404000000,12349
204,1603490400000,12382
205,1603576800000,12387
206,1603663200000,12389
207,1603749600000,12409
208,1603836000000,12430
209,1603922400000,12445
210,1604008800000,12477
211,1604095200000,12499
212,1604181600000,12504
213,1604268000000,12509
214,1604354400000,12542
215,1604440800000,12565
216,1604527200000,12587
217,1604613600000,12622
218,1604700000000,12646
219,1604786400000,12663
220,1604872800000,12669
221,1604959200000,12707
222,1605045600000,12751
223,1605132000000,12798
224,1605218400000,12845
225,1605304800000,12897
226,1605391200000,12915
227,1605477600000,12920
228,1605564000000,13002
229,1605650400000,13060
230,1605736800000,13101
231,1605823200000,13164
232,1605909600000,13238
233,1605996000000,13254
234,1606082400000,13257
235,1606168800000,13370
236,1606255200000,13452
237,1606341600000,13525
238,1606428000000,13647
239,1606514400000,13728
240,1606600800000,13760
241,1606687200000,13777
242,1606773600000,13909
243,1606860000000,14067
244,1606946400000,14219
245,1607032800000,14409
246,1607119200000,14651
247,1607205600000,14809
248,1607292000000,14837
249,1607378400000,15093
250,1607464800000,15423
251,1607551200000,15774
252,1607637600000,16128
253,1607724000000,16455
254,1607810400000,16681
255,1607896800000,16880
256,1607983200000,17262
257,1608069600000,17704
258,1608156000000,18069
259,1608242400000,18534
260,1608328800000,19032
261,1608415200000,19381
262,1608501600000,19598
263,1608588000000,20184
264,1608674400000,20783
265,1608760800000,21470
266,1608847200000,22061
267,1608933600000,22138
268,1609020000000,22240
269,1609106400000,22350
270,1609192800000,22946
271,1609279200000,23640
272,1609365600000,24328
273,1609452000000,24986
274,1609538400000,25242
275,1609624800000,25525
276,1609711200000,25635
277,1609797600000,26215
278,1609884000000,26950
279,1609970400000,27530
280,1610056800000,28077
281,1610143200000,28602
282,1610229600000,28858
283,1610316000000,28917
284,1610402400000,29311
285,1610488800000,29789
286,1610575200000,30245
287,1610661600000,30547
288,1610748000000,30794
289,1610834400000,30896
290,1610920800000,30930
291,1611007200000,31154
292,1611093600000,31381
293,1611180000000,31628
294,1611266400000,31817
295,1611352800000,31944
296,1611439200000,31998
297,1611525600000,32012
298,1611612000000,32181
299,1611698400000,32315
300,1611784800000,32420
301,1611871200000,32513
302,1611957600000,32596
303,1612044000000,32611
304,1612130400000,32622
305,1612216800000,32724
306,1612303200000,32811
307,1612389600000,32893
308,1612476000000,32958
309,1612562400000,33015
310,1612648800000,33029
311,1612735200000,33039
312,1612821600000,33126
313,1612908000000,33174
314,1612994400000,33247
315,1613080800000,33293
316,1613167200000,33343
317,1613253600000,33362
318,1613340000000,33369
319,1613426400000,33433
320,1613512800000,33486
321,1613599200000,33537
322,1613685600000,33578
323,1613772000000,33622
324,1613858400000,33629
325,1613944800000,33633
326,1614031200000,33679
327,1614117600000,33708
328,1614204000000,33749
329,1614290400000,33784
330,1614376800000,33811
331,1614463200000,33820
332,1614549600000,33828
333,1614636000000,33873
334,1614722400000,33916
335,1614808800000,33942
336,1614895200000,33974
337,1614981600000,34005
338,1615068000000,34017
339,1615154400000,34028
340,1615240800000,34078
341,1615327200000,34114
342,1615413600000,34158
343,1615500000000,34186
344,1615586400000,34211
345,1615672800000,34221
346,1615759200000,34233
347,1615845600000,34261
348,1615932000000,34280
349,1616018400000,34306
350,1616104800000,34331
351,1616191200000,34348
352,1616277600000,34359
353,1616364000000,34367
354,1616450400000,34376
355,1616536800000,34417
356,1616623200000,34439
357,1616709600000,34469
358,1616796000000,34488
359,1616882400000,34495
360,1616968800000,34503
361,1617055200000,34537
362,1617141600000,34571
363,1617228000000,34610
364,1617314400000,34631
365,1617400800000,34641
366,1617487200000,34648
367,1617573600000,34655
368,1617660000000,34674
369,1617746400000,34712
370,1617832800000,34732
371,1617919200000,34752
372,1618005600000,34778
373,1618092000000,34782
374,1618178400000,34786
375,1618264800000,34809
376,1618351200000,34821
377,1618437600000,34850
378,1618524000000,34869
379,1618610400000,34893
380,1618696800000,34904
381,1618783200000,34906
382,1618869600000,34945
383,1618956000000,34960
384,1619042400000,34970
385,1619128800000,34992
386,1619215200000,35001
387,1619301600000,35005
388,1619388000000,35007
389,1619474400000,35027
390,1619560800000,35034
391,1619647200000,35058
392,1619733600000,35084
393,1619820000000,35097
394,1619906400000,35103
395,1619992800000,35112
396,1620079200000,35152
397,1620165600000,35174
398,1620252000000,35206
399,1620338400000,35235
400,1620424800000,35267
401,1620511200000,35274
402,1620597600000,35280
403,1620684000000,35325
404,1620770400000,35368
405,1620856800000,35403
406,1620943200000,35432
407,1621029600000,35461
408,1621116000000,35470
409,1621288800000,35507
410,1621375200000,35547
411,1621461600000,35589
412,1621548000000,35623
413,1621634400000,35649
414,1621720800000,35667
415,1621807200000,35677
416,1621893600000,35733
417,1621980000000,35782
418,1622066400000,35828
419,1622152800000,35871
420,1622239200000,35920
421,1622325600000,35945
422,1622412000000,35952
423,1622498400000,36008
424,1622584800000,36094
425,1622671200000,36176
426,1622757600000,36246
427,1622844000000,36329
428,1622930400000,36363
429,1623016800000,36386
430,1623103200000,36513
431,1623189600000,36645
432,1623276000000,36781
433,1623362400000,36899
434,1623448800000,37044
435,1623535200000,37092
436,1623621600000,37114
437,1623708000000,37284
438,1623794400000,37471
439,1623880800000,37510
440,1623967200000,37767
441,1624053600000,38001
442,1624140000000,38076
443,1624226400000,38129
444,1624312800000,38417
445,1624399200000,38678
446,1624485600000,38910
447,1624572000000,39175
448,1624658400000,39399
449,1624744800000,39496
450,1624831200000,39546
451,1624917600000,39896
452,1625004000000,40148
453,1625090400000,40498
454,1625176800000,40818
455,1625263200000,41122
456,1625349600000,41228
457,1625436000000,41279
458,1625522400000,41710
459,1625608800000,42090
460,1625695200000,42460
461,1625781600000,42786
462,1625868000000,43072
463,1625954400000,43191
464,1626040800000,43241
465,1626127200000,43588
466,1626213600000,43943
467,1626300000000,44290
468,1626386400000,44595
469,1626472800000,44882
470,1626559200000,45000
471,1626645600000,45063
472,1626732000000,45534
473,1626818400000,45934
474,1626904800000,46273
475,1626991200000,46608
476,1627077600000,46951
477,1627164000000,47080
478,1627250400000,47157
479,1627336800000,47673
480,1627423200000,48175
481,1627509600000,48579
482,1627596000000,49014
483,1627682400000,49351
484,1627768800000,49523
485,1627855200000,49561
486,1627941600000,50038
487,1628028000000,50450
488,1628114400000,50908
489,1628200800000,51389
490,1628287200000,51765
491,1628373600000,51881
492,1628460000000,51955
493,1628546400000,52024
494,1628632800000,52518
495,1628719200000,52952
496,1628805600000,53331
497,1628892000000,53719
498,1628978400000,53916
499,1629064800000,53975
500,1629151200000,54410
501,1629237600000,54911
502,1629324000000,55355
503,1629410400000,55764
504,1629496800000,56101
505,1629583200000,56207
506,1629669600000,56250
507,1629756000000,56664
508,1629842400000,56998
509,1629928800000,57294
510,1630015200000,57561
511,1630101600000,57786
512,1630188000000,57838
513,1630274400000,57881
514,1630360800000,58095
515,1630447200000,58326
516,1630533600000,58536
517,1630620000000,58704
518,1630706400000,58920
519,1630792800000,58973
520,1630879200000,59008
521,1630965600000,59153
522,1631052000000,59326
523,1631138400000,59426
524,1631224800000,59510
525,1631311200000,59593
526,1631397600000,59619
527,1631484000000,59632
528,1631570400000,59765
529,1631656800000,59885
530,1631743200000,59948
531,1631829600000,60004
532,1631916000000,60045
533,1632002400000,60063
534,1632088800000,60073
535,1632175200000,60146
536,1632261600000,60184
537,1632348000000,60214
538,1632434400000,60263
539,1632520800000,60272
540,1632607200000,60279
541,1632693600000,60284
542,1632780000000,60323
543,1632866400000,60367
544,1632952800000,60409
545,1633039200000,60443
546,1633125600000,60456
547,1633212000000,60462
548,1633298400000,60472
549,1633384800000,60493
550,1633471200000,60508
551,1633557600000,60532
552,1633644000000,60543
553,1633730400000,60555
554,1633816800000,60560
555,1633903200000,60561
556,1633989600000,60582
557,1634076000000,60616
558,1634162400000,60631
559,1634248800000,60647
560,1634335200000,60661
561,1634421600000,60666
562,1634508000000,60669
563,1634594400000,60688
564,1634680800000,60694
565,1634767200000,60704
566,1634853600000,60712
567,1634940000000,60721
568,1635026400000,60722
569,1635112800000,60727
570,1635199200000,60737
571,1635285600000,60742
572,1635372000000,60747
573,1635458400000,60755
574,1635544800000,60758
575,1635631200000,60759
576,1635717600000,60761
577,1635804000000,60762
578,1635890400000,60770
579,1635976800000,60779
580,1636063200000,60785
581,1636149600000,60791
582,1636236000000,60796
583,1636322400000,60797
584,1636408800000,60803
585,1636495200000,60807
586,1636668000000,60810
587,1636754400000,60813
588,1636840800000,60815
589,1636927200000,60818
590,1637013600000,60820
591,1637100000000,60821
592,1637186400000,60828
593,1637272800000,60837
594,1637359200000,60839
595,1637445600000,60841
596,1637532000000,60845
597,1637618400000,60855
598,1637704800000,60865
599,1637791200000,60870
600,1637877600000,60878
601,1637964000000,60893
602,1638050400000,60900
603,1638136800000,60905
604,1638223200000,60936
605,1638309600000,60981
606,1638396000000,61042
607,1638482400000,61113
608,1638568800000,61188
609,1638655200000,61237
610,1638741600000,61257
611,1638828000000,61367
612,1638914400000,61528
613,1639000800000,61698
614,1639087200000,61928
615,1639173600000,62194
616,1639260000000,62303
617,1639346400000,62366
618,1639432800000,62734
619,1639519200000,63130
620,1639605600000,63657
621,1639692000000,63774
622,1639778400000,64251
