,ID,Cases
0,1584050400000,1
1,1584136800000,2
2,1584309600000,3
3,1584396000000,6
4,1584482400000,11
5,1584568800000,14
6,1584655200000,16
7,1584741600000,19
8,1584828000000,22
9,1584914400000,24
10,1585000800000,29
11,1585087200000,34
12,1585173600000,42
13,1585260000000,43
14,1585346400000,44
15,1585432800000,49
16,1585519200000,50
17,1585605600000,57
18,1585692000000,67
19,1585778400000,73
20,1585864800000,86
21,1585951200000,106
22,1586037600000,112
23,1586124000000,124
24,1586210400000,131
25,1586296800000,148
26,1586383200000,179
27,1586469600000,217
28,1586556000000,234
29,1586642400000,244
30,1586728800000,252
31,1586815200000,260
32,1586901600000,281
33,1586988000000,306
34,1587074400000,410
35,1587160800000,491
36,1587247200000,528
37,1587333600000,566
38,1587420000000,655
39,1587506400000,815
40,1587592800000,945
41,1587679200000,1077
42,1587765600000,1226
43,1587852000000,1347
44,1587938400000,1474
45,1588024800000,1580
46,1588111200000,1741
47,1588197600000,1946
48,1588284000000,2097
49,1588370400000,2255
50,1588456800000,2428
51,1588543200000,2625
52,1588629600000,2977
53,1588716000000,3440
54,1588802400000,3946
55,1588888800000,4421
56,1588975200000,4894
57,1589061600000,5421
58,1589148000000,5884
59,1589234400000,6420
60,1589320800000,7039
61,1589407200000,7629
62,1589493600000,8232
63,1589580000000,8793
64,1589666400000,9303
65,1589752800000,9797
66,1589839200000,10612
67,1589925600000,11487
68,1590012000000,12365
69,1590098400000,13231
70,1590184800000,14023
71,1590271200000,14654
72,1590357600000,15010
73,1590444000000,15735
74,1590530400000,16627
75,1590616800000,17520
76,1590703200000,18470
77,1590789600000,19499
78,1590876000000,20222
79,1590962400000,20833
80,1591048800000,21888
81,1591135200000,22964
82,1591221600000,23998
83,1591308000000,24979
84,1591394400000,25870
85,1591480800000,26604
86,1591567200000,27106
87,1591653600000,27907
88,1591740000000,28908
89,1591826400000,29685
90,1591912800000,30435
91,1591999200000,31200
92,1592085600000,31612
93,1592172000000,31856
94,1592258400000,32895
95,1592344800000,33237
96,1592431200000,34126
97,1592517600000,35021
98,1592604000000,35883
99,1592690400000,36381
100,1592776800000,36714
101,1592863200000,37763
102,1592949600000,38776
103,1593036000000,39807
104,1593122400000,40693
105,1593208800000,41479
