,ID,Cases
0,1584396000000,1
1,1584568800000,2
2,1584741600000,3
3,1585000800000,4
4,1585087200000,6
5,1585346400000,7
6,1585432800000,8
7,1585605600000,11
8,1585692000000,15
9,1585778400000,16
10,1585864800000,18
11,1585951200000,19
12,1586037600000,22
13,1586124000000,23
14,1586296800000,24
15,1586383200000,25
16,1586469600000,27
17,1586556000000,28
18,1586815200000,30
19,1586901600000,31
20,1586988000000,33
21,1587074400000,38
22,1587160800000,41
23,1587247200000,44
24,1587333600000,45
25,1587420000000,50
26,1587592800000,52
27,1587679200000,55
28,1587765600000,58
29,1587852000000,62
30,1587938400000,64
31,1588024800000,67
32,1588111200000,82
33,1588197600000,86
34,1588284000000,102
35,1588456800000,105
36,1588543200000,109
37,1588629600000,112
38,1588716000000,122
39,1588802400000,128
40,1588888800000,129
41,1588975200000,132
42,1589061600000,133
43,1589148000000,135
44,1589234400000,137
45,1589320800000,141
46,1589407200000,148
47,1589493600000,151
48,1589580000000,162
49,1589666400000,165
50,1589752800000,170
51,1589839200000,174
52,1589925600000,177
53,1590012000000,182
54,1590184800000,204
55,1590271200000,207
56,1590357600000,211
57,1590444000000,218
58,1590530400000,233
59,1590616800000,245
60,1590703200000,261
61,1590789600000,280
62,1590876000000,304
63,1590962400000,314
64,1591048800000,359
65,1591135200000,396
66,1591221600000,443
67,1591308000000,483
68,1591394400000,528
69,1591480800000,571
70,1591567200000,601
71,1591653600000,694
72,1591740000000,813
73,1591826400000,924
74,1591912800000,1062
75,1591999200000,1177
76,1592085600000,1301
77,1592172000000,1352
78,1592258400000,1670
79,1592344800000,1766
80,1592431200000,1950
81,1592517600000,2216
82,1592604000000,2460
83,1592690400000,2639
84,1592776800000,2762
85,1592863200000,3113
86,1592949600000,3456
87,1593036000000,3881
88,1593122400000,4306
89,1593208800000,4772
90,1593295200000,5007
91,1593381600000,5240
92,1593468000000,5858
93,1593554400000,6493
94,1593640800000,7102
95,1593727200000,7760
96,1593813600000,8323
97,1593900000000,8738
98,1593986400000,9054
99,1594072800000,9775
100,1594159200000,10543
101,1594245600000,11342
102,1594332000000,12059
103,1594418400000,12878
104,1594504800000,13414
105,1594591200000,13735
106,1594677600000,14631
107,1594764000000,15471
108,1594850400000,16180
109,1594936800000,16934
110,1595023200000,17704
111,1595109600000,18222
112,1595196000000,18493
113,1595282400000,19318
114,1595368800000,20157
115,1595455200000,20910
116,1595541600000,21569
117,1595628000000,22226
118,1595714400000,22606
119,1595800800000,22798
120,1595887200000,23427
121,1595973600000,24053
122,1596060000000,24623
123,1596146400000,25178
124,1596232800000,25580
125,1596319200000,25824
126,1596405600000,25937
127,1596492000000,26372
128,1596578400000,26765
129,1596664800000,27107
130,1596751200000,27405
131,1596837600000,27696
132,1596924000000,27808
133,1597010400000,27889
134,1597096800000,27962
135,1597183200000,28230
136,1597269600000,28425
137,1597356000000,28701
138,1597442400000,28882
139,1597528800000,28993
140,1597615200000,29056
141,1597701600000,29289
142,1597788000000,29510
143,1597874400000,29704
144,1597960800000,29845
145,1598047200000,30007
146,1598133600000,30078
147,1598220000000,30117
148,1598306400000,30273
149,1598392800000,30404
150,1598479200000,30520
151,1598565600000,30636
152,1598652000000,30720
153,1598738400000,30758
154,1598824800000,30797
155,1598911200000,30937
156,1598997600000,31060
157,1599084000000,31167
158,1599170400000,31265
159,1599256800000,31354
160,1599343200000,31398
161,1599429600000,31428
162,1599516000000,31552
163,1599602400000,31647
164,1599688800000,31740
165,1599775200000,31812
166,1599861600000,31894
167,1599948000000,31924
168,1600034400000,31938
169,1600120800000,32056
170,1600207200000,32176
171,1600293600000,32306
172,1600380000000,32389
173,1600466400000,32490
174,1600552800000,32539
175,1600639200000,32557
176,1600725600000,32673
177,1600812000000,32764
178,1600898400000,32835
179,1600984800000,32866
180,1601071200000,32927
181,1601157600000,32956
182,1601244000000,32992
183,1601330400000,33083
184,1601416800000,33188
185,1601503200000,33257
186,1601589600000,33328
187,1601676000000,33413
188,1601762400000,33456
189,1601848800000,33472
190,1601935200000,33598
191,1602021600000,33694
192,1602108000000,33773
193,1602194400000,33865
194,1602280800000,33954
195,1602367200000,34003
196,1602453600000,34024
197,1602540000000,34151
198,1602626400000,34235
199,1602712800000,34351
200,1602799200000,34452
201,1602885600000,34535
202,1602972000000,34579
203,1603058400000,34607
204,1603144800000,34715
205,1603231200000,34810
206,1603317600000,34901
207,1603404000000,34970
208,1603490400000,35066
209,1603576800000,35097
210,1603663200000,35126
211,1603749600000,35206
212,1603836000000,35287
213,1603922400000,35380
214,1604008800000,35441
215,1604095200000,35486
216,1604181600000,35526
217,1604268000000,35542
218,1604354400000,35623
219,1604440800000,35690
220,1604527200000,35754
221,1604613600000,35792
222,1604700000000,35839
223,1604786400000,35868
224,1604872800000,35885
225,1604959200000,35949
226,1605045600000,36014
227,1605132000000,36063
228,1605218400000,36102
229,1605304800000,36154
230,1605391200000,36190
231,1605477600000,36206
232,1605564000000,36272
233,1605650400000,36338
234,1605736800000,36403
235,1605823200000,36464
236,1605909600000,36533
237,1605996000000,36557
238,1606082400000,36577
239,1606168800000,36669
240,1606255200000,36747
241,1606341600000,36810
242,1606428000000,36887
243,1606514400000,36938
244,1606600800000,36972
245,1606687200000,36999
246,1606773600000,37121
247,1606860000000,37210
248,1606946400000,37324
249,1607032800000,37437
250,1607119200000,37549
251,1607205600000,37631
252,1607292000000,37700
253,1607378400000,37939
254,1607464800000,38199
255,1607551200000,38488
256,1607637600000,38841
257,1607724000000,39158
258,1607810400000,39356
259,1607896800000,39500
260,1607983200000,40020
261,1608069600000,40454
262,1608156000000,40764
263,1608242400000,41348
264,1608328800000,41823
265,1608415200000,42142
266,1608501600000,42364
267,1608588000000,43141
268,1608674400000,43847
269,1608760800000,44637
270,1608847200000,45334
271,1608933600000,45619
272,1609020000000,45983
273,1609106400000,46323
274,1609192800000,47342
275,1609279200000,48514
276,1609365600000,49740
277,1609452000000,50856
278,1609538400000,51516
279,1609624800000,52137
280,1609711200000,52655
281,1609797600000,54069
282,1609884000000,55690
283,1609970400000,57159
284,1610056800000,58675
285,1610143200000,59969
286,1610229600000,60814
287,1610316000000,61243
288,1610402400000,62284
289,1610488800000,63410
290,1610575200000,64339
291,1610661600000,65199
292,1610748000000,65869
293,1610834400000,66352
294,1610920800000,66634
295,1611007200000,67254
296,1611093600000,67878
297,1611180000000,68413
298,1611266400000,68816
299,1611352800000,69196
300,1611439200000,69490
301,1611525600000,69581
302,1611612000000,69891
303,1611698400000,70167
304,1611784800000,70382
305,1611871200000,70570
306,1611957600000,70750
307,1612044000000,70834
308,1612130400000,70892
309,1612216800000,71101
310,1612303200000,71281
311,1612389600000,71426
312,1612476000000,71559
313,1612562400000,71690
314,1612648800000,71759
315,1612735200000,71806
316,1612821600000,71959
317,1612908000000,72092
318,1612994400000,72214
319,1613080800000,72327
320,1613167200000,72400
321,1613253600000,72451
322,1613340000000,72478
323,1613426400000,72577
324,1613512800000,72685
325,1613599200000,72790
326,1613685600000,72879
327,1613772000000,72953
328,1613858400000,72982
329,1613944800000,73016
330,1614031200000,73113
331,1614117600000,73184
332,1614204000000,73251
333,1614290400000,73321
334,1614376800000,73371
335,1614463200000,73402
336,1614549600000,73421
337,1614636000000,73485
338,1614722400000,73552
339,1614808800000,73612
340,1614895200000,73663
341,1614981600000,73716
342,1615068000000,73737
343,1615154400000,73765
344,1615240800000,73826
345,1615327200000,73891
346,1615413600000,73946
347,1615500000000,73991
348,1615586400000,74033
349,1615672800000,74058
350,1615759200000,74073
351,1615845600000,74134
352,1615932000000,74184
353,1616018400000,74245
354,1616104800000,74286
355,1616191200000,74330
356,1616277600000,74360
357,1616364000000,74384
358,1616450400000,74413
359,1616536800000,74490
360,1616623200000,74570
361,1616709600000,74645
362,1616796000000,74706
363,1616882400000,74744
364,1616968800000,74770
365,1617055200000,74839
366,1617141600000,74906
367,1617228000000,74952
368,1617314400000,75007
369,1617400800000,75036
370,1617487200000,75066
371,1617573600000,75094
372,1617660000000,75124
373,1617746400000,75206
374,1617832800000,75273
375,1617919200000,75339
376,1618005600000,75410
377,1618092000000,75458
378,1618178400000,75482
379,1618264800000,75559
380,1618351200000,75625
381,1618437600000,75674
382,1618524000000,75740
383,1618610400000,75801
384,1618696800000,75824
385,1618783200000,75842
386,1618869600000,75899
387,1618956000000,75950
388,1619042400000,75991
389,1619128800000,76058
390,1619215200000,76113
391,1619301600000,76147
392,1619388000000,76161
393,1619474400000,76246
394,1619560800000,76272
395,1619647200000,76357
396,1619733600000,76452
397,1619820000000,76536
398,1619906400000,76576
399,1619992800000,76621
400,1620079200000,76758
401,1620165600000,76879
402,1620252000000,77028
403,1620338400000,77185
404,1620424800000,77327
405,1620511200000,77385
406,1620597600000,77448
407,1620684000000,77663
408,1620770400000,77965
409,1620856800000,78233
410,1620943200000,78439
411,1621029600000,78670
412,1621116000000,78837
413,1621202400000,78919
414,1621288800000,79211
415,1621375200000,79525
416,1621461600000,79830
417,1621548000000,80145
418,1621634400000,80438
419,1621720800000,80643
420,1621807200000,80756
421,1621893600000,81154
422,1621980000000,81594
423,1622066400000,82051
424,1622152800000,82519
425,1622239200000,82992
426,1622325600000,83217
427,1622412000000,83402
428,1622498400000,84020
429,1622584800000,84565
430,1622671200000,85182
431,1622757600000,85857
432,1622844000000,86534
433,1622930400000,87002
434,1623016800000,87268
435,1623103200000,88351
436,1623189600000,89700
437,1623276000000,90892
438,1623362400000,92185
439,1623448800000,93708
440,1623535200000,94652
441,1623621600000,95174
442,1623708000000,96952
443,1623794400000,98790
444,1623880800000,99968
445,1623967200000,101966
446,1624053600000,104114
