Date,ID,Cases
2022-06-28,1656108000000,22077
2022-06-27,1655935200000,22076
2022-06-26,1655848800000,22074
2022-06-25,1655762400000,22072
2022-06-24,1655676000000,22069
2022-06-23,1655589600000,22067
2022-06-22,1655503200000,22065
2022-06-21,1655330400000,22062
2022-06-20,1655244000000,22058
2022-06-19,1655157600000,22055
2022-06-18,1654984800000,22053
2022-06-17,1654898400000,22052
2022-06-16,1654812000000,22045
2022-06-15,1654725600000,22040
2022-06-14,1654639200000,22036
2022-06-13,1654552800000,22027
2022-06-12,1654380000000,22025
2022-06-11,1654293600000,22023
2022-06-10,1654207200000,22020
2022-06-09,1654120800000,22016
2022-06-08,1654034400000,22014
2022-06-07,1653948000000,21999
2022-06-06,1653861600000,21992
2022-06-05,1653775200000,21987
2022-06-04,1653688800000,21986
2022-06-03,1653602400000,21982
2022-06-02,1653516000000,21978
2022-06-01,1653429600000,21971
2022-05-31,1653343200000,21949
2022-05-30,1653256800000,21932
2022-05-29,1653170400000,21930
2022-05-28,1653084000000,21928
2022-05-27,1652997600000,21914
2022-05-26,1652911200000,21894
2022-05-25,1652824800000,21882
2022-05-24,1652738400000,21855
2022-05-23,1652652000000,21829
2022-05-22,1652565600000,21827
2022-05-21,1652479200000,21822
2022-05-20,1652392800000,21802
2022-05-19,1652306400000,21784
2022-05-18,1652220000000,21765
2022-05-17,1652133600000,21745
2022-05-16,1651960800000,21732
2022-05-15,1651874400000,21723
2022-05-14,1651788000000,21704
2022-05-13,1651701600000,21692
2022-05-12,1651615200000,21681
2022-05-11,1651528800000,21671
2022-05-10,1651356000000,21665
2022-05-09,1651269600000,21664
2022-05-08,1651183200000,21659
2022-05-07,1651010400000,21650
2022-05-06,1650924000000,21646
2022-05-05,1650837600000,21641
2022-05-04,1650751200000,21640
2022-05-03,1650664800000,21639
2022-05-02,1650578400000,21635
2022-05-01,1650492000000,21631
2022-04-30,1650405600000,21629
2022-04-29,1650232800000,21626
2022-04-28,1650060000000,21625
2022-04-27,1649973600000,21624
2022-04-26,1649887200000,21619
2022-04-25,1649800800000,21617
2022-04-24,1649714400000,21616
2022-04-23,1649282400000,21614
2022-04-22,1649196000000,21613
2022-04-21,1649109600000,21612
2022-04-20,1648850400000,21610
2022-04-19,1648764000000,21609
2022-04-18,1648591200000,21606
2022-04-17,1648504800000,21605
2022-04-16,1648332000000,21603
2022-04-15,1648245600000,21600
2022-04-14,1648159200000,21598
2022-04-13,1648072800000,21597
2022-04-12,1647986400000,21595
2022-04-11,1647900000000,21593
2022-04-10,1647554400000,21592
2022-04-09,1647381600000,21590
2022-04-08,1647295200000,21587
2022-04-07,1647208800000,21584
2022-04-06,1647122400000,21583
2022-04-05,1647036000000,21582
2022-04-04,1646863200000,21581
2022-04-03,1646776800000,21577
