ID,Cases
EC-DC44,Alfred Nzo
1641420000000,5610
1641333600000,5601
1641247200000,5584
1641160800000,5561
1641074400000,5557
1640988000000,5555
1640901600000,5554
1640815200000,5539
1640728800000,5528
1640642400000,5507
1640556000000,5500
1640469600000,5497
1640383200000,5496
1640296800000,5489
1640210400000,5474
1640124000000,5450
1640037600000,5419
1639951200000,5390
1639864800000,5383
1639778400000,5378
1639692000000,5355
1639605600000,5347
1639519200000,5310
1639432800000,5284
1639346400000,5245
1639260000000,5239
1639173600000,5230
1639087200000,5202
1639000800000,5171
1638914400000,5150
1638828000000,5141
1638741600000,5119
1638655200000,5117
1638568800000,5116
1638482400000,5113
1638396000000,5104
1638309600000,5098
1638223200000,5097
1637618400000,5096
1636495200000,5094
1635890400000,5093
1635717600000,5091
1635199200000,5090
1634767200000,5089
1633989600000,5086
1633903200000,5084
1633816800000,5083
1633730400000,5082
1633644000000,5080
1633557600000,5079
1633471200000,5078
1633384800000,5077
1633298400000,5073
1633125600000,5070
1633039200000,5069
1632866400000,5067
1632780000000,5063
1632520800000,5059
1632434400000,5058
1632348000000,5057
1632261600000,5049
1632175200000,5044
1631916000000,5032
1631829600000,5030
1631743200000,5028
1631656800000,5023
1631570400000,5018
1631484000000,5011
1631397600000,5008
1631311200000,5004
1631224800000,4986
1631138400000,4978
1631052000000,4971
1630965600000,4955
1630792800000,4940
1630706400000,4936
1630620000000,4927
1630533600000,4911
1630447200000,4895
1630360800000,4851
1630274400000,4827
1630188000000,4824
1630101600000,4822
1630015200000,4793
1629928800000,4782
1629842400000,4730
1629756000000,4698
1629669600000,4662
1629583200000,4656
1629496800000,4644
1629410400000,4620
1629324000000,4593
1629237600000,4554
1629151200000,4518
1629064800000,4500
1628978400000,4496
1628892000000,4491
1628805600000,4473
1628719200000,4464
1628632800000,4446
1628546400000,4433
1628460000000,4431
1628373600000,4428
1628287200000,4426
1628200800000,4418
1628114400000,4408
1628028000000,4389
1627941600000,4371
1627855200000,4361
1627768800000,4358
1627682400000,4352
1627596000000,4341
1627509600000,4329
1627423200000,4316
1627336800000,4303
1627250400000,4286
1627164000000,4285
1627077600000,4283
1626991200000,4274
1626904800000,4264
1626818400000,4249
1626732000000,4224
1626645600000,4195
1626559200000,4194
1626472800000,4191
1626386400000,4183
1626300000000,4173
1626213600000,4160
1626127200000,4153
1626040800000,4138
1625954400000,4134
1625868000000,4131
1625781600000,4122
1625695200000,4112
1625608800000,4101
1625522400000,4090
1625349600000,4072
1625263200000,4071
1625176800000,4061
1625090400000,4049
1625004000000,4044
1624917600000,4032
1624744800000,4024
1624658400000,4022
1624572000000,4019
1624485600000,4014
1624399200000,4010
1624312800000,4004
1624140000000,3997
1624053600000,3996
1623967200000,3987
1623880800000,3979
1623794400000,3973
1623708000000,3968
1623448800000,3956
1623276000000,3955
1623189600000,3952
1623103200000,3950
1622844000000,3944
1622671200000,3942
1622584800000,3941
1622498400000,3940
1622066400000,3938
1621980000000,3935
1621634400000,3933
1621548000000,3930
1621375200000,3928
1620856800000,3927
1620511200000,3926
1620338400000,3925
1620165600000,3924
1620079200000,3923
1619820000000,3921
1619042400000,3920
1618610400000,3918
1617919200000,3917
1617746400000,3916
1617141600000,3914
1617055200000,3913
1616796000000,3912
1616709600000,3911
1616623200000,3910
1616536800000,3908
1616450400000,3907
1616191200000,3906
1616104800000,3905
1615586400000,3904
1615327200000,3903
1615240800000,3902
1614895200000,3900
1614808800000,3899
1614722400000,3897
1614636000000,3896
1614376800000,3894
1614290400000,3893
1614204000000,3890
1614117600000,3885
1614031200000,3882
1613858400000,3881
1613685600000,3880
1613599200000,3878
1613512800000,3875
1613426400000,3874
1613253600000,3873
1613167200000,3871
1613080800000,3869
1612994400000,3868
1612908000000,3863
1612821600000,3860
1612389600000,3857
1612303200000,3856
1612216800000,3851
1612130400000,3848
1612044000000,3847
1611957600000,3846
1611871200000,3832
1611784800000,3823
1611698400000,3810
1611612000000,3799
1611525600000,3777
1611439200000,3774
1611352800000,3772
1611266400000,3757
1611180000000,3743
1611093600000,3735
1611007200000,3705
1610920800000,3667
1610834400000,3664
1610748000000,3656
1610661600000,3638
1610575200000,3602
1610488800000,3567
1610402400000,3528
1610316000000,3467
1610229600000,3465
1610143200000,3459
1610056800000,3400
1609970400000,3357
1609884000000,3305
1609797600000,3253
1609711200000,3206
1609624800000,3201
1609538400000,3157
1609452000000,3147
1609365600000,3113
1609279200000,3043
1609192800000,2976
1609106400000,2952
1609020000000,2944
1608933600000,2940
1608847200000,2933
1608760800000,2895
1608674400000,2853
1608588000000,2796
1608501600000,2730
1608415200000,2725
1608328800000,2718
1608242400000,2671
1608156000000,2582
1608069600000,2574
1607983200000,2518
1607896800000,2451
1607810400000,2448
1607724000000,2440
1607637600000,2376
1607551200000,2302
1607464800000,2238
1607378400000,2209
1607292000000,2161
1607205600000,2153
1607119200000,2149
1607032800000,2103
1606946400000,2051
1606860000000,2009
1606773600000,1956
1606687200000,1935
1606600800000,1934
1606514400000,1932
1606428000000,1920
1606341600000,1910
1606255200000,1892
1606168800000,1885
1605909600000,1873
1605823200000,1863
1605736800000,1861
1605650400000,1850
1605564000000,1839
1605391200000,1833
1605304800000,1832
1605218400000,1830
1605132000000,1823
1605045600000,1820
1604959200000,1819
1604872800000,1812
1604700000000,1811
1604440800000,1806
1604354400000,1802
1604268000000,1799
1604095200000,1798
1603836000000,1797
1603749600000,1796
1603663200000,1795
1603490400000,1793
1603317600000,1792
1603231200000,1790
1603144800000,1788
1602972000000,1785
1602885600000,1784
1602540000000,1783
1601935200000,1781
1601676000000,1780
1601416800000,1779
1601330400000,1778
1601071200000,1773
1600898400000,1772
1600812000000,1770
1600725600000,1769
1600466400000,1765
1600380000000,1764
1600293600000,1762
1600207200000,1760
1600034400000,1758
1599775200000,1757
1599602400000,1755
1599516000000,1753
1599256800000,1752
1599170400000,1751
1599084000000,1747
1598997600000,1746
1598911200000,1744
1598652000000,1743
1598565600000,1742
1598479200000,1735
1598392800000,1734
1598306400000,1728
1598047200000,1722
1597960800000,1720
1597874400000,1718
1597788000000,1715
1597701600000,1707
1597615200000,1701
1597442400000,1700
1597356000000,1690
1597269600000,1681
1597183200000,1678
1597096800000,1668
1597010400000,1667
1596924000000,1665
1596837600000,1664
1596751200000,1653
1596664800000,1642
1596578400000,1626
1596492000000,1608
1596319200000,1594
1596232800000,1592
1596146400000,1575
1596060000000,1550
1595973600000,1528
1595887200000,1502
1595714400000,1463
1595628000000,1462
1595541600000,1451
1595455200000,1391
1595368800000,1365
1595282400000,1312
1595196000000,1251
1595109600000,1246
1595023200000,1234
1594936800000,1171
1594850400000,1105
1594764000000,1050
1594677600000,996
1594504800000,947
1594418400000,903
1594332000000,851
1594245600000,798
1594159200000,722
1594072800000,650
1593986400000,613
1593900000000,609
1593813600000,604
1593727200000,532
1593640800000,507
1593554400000,466
1593468000000,416
1593381600000,394
1593295200000,393
1593208800000,387
1593122400000,350
1593036000000,320
1592949600000,281
1592863200000,269
1592776800000,252
1592690400000,251
1592604000000,137
1592517600000,131
1592431200000,120
1592344800000,103
1592258400000,95
1592172000000,80
1592085600000,78
1591999200000,77
1591912800000,70
1591826400000,67
1591740000000,65
1591653600000,60
1591480800000,53
1591394400000,51
1591308000000,50
1591221600000,43
1591135200000,38
1591048800000,37
1590789600000,35
1590703200000,28
1590616800000,23
1590530400000,20
1590184800000,17
1590098400000,16
1590012000000,15
1589925600000,14
1589839200000,13
1589407200000,12
1588370400000,11
1588197600000,10
1587765600000,9
1587679200000,6
1587420000000,1
