ID,Cases
FS-DC20,Fezile Dabi
1641420000000,25463
1641333600000,25444
1641247200000,25405
1641160800000,25348
1641074400000,25343
1640988000000,25331
1640901600000,25300
1640815200000,25251
1640728800000,25187
1640642400000,25121
1640556000000,25102
1640469600000,25089
1640383200000,25076
1640296800000,25033
1640210400000,24973
1640124000000,24849
1640037600000,24752
1639951200000,24621
1639864800000,24605
1639778400000,24567
1639692000000,24424
1639605600000,24381
1639519200000,24213
1639432800000,23994
1639346400000,23763
1639260000000,23746
1639173600000,23672
1639087200000,23429
1639000800000,23168
1638914400000,22946
1638828000000,22741
1638741600000,22604
1638655200000,22589
1638568800000,22565
1638482400000,22490
1638396000000,22415
1638309600000,22371
1638223200000,22335
1638136800000,22309
1638050400000,22306
1637964000000,22305
1637877600000,22299
1637791200000,22290
1637704800000,22278
1637618400000,22273
1637532000000,22271
1637359200000,22270
1637100000000,22269
1637013600000,22267
1636754400000,22266
1636668000000,22264
1636581600000,22263
1636495200000,22262
1636408800000,22259
1636149600000,22255
1636063200000,22254
1635976800000,22251
1635890400000,22248
1635717600000,22245
1635631200000,22244
1635544800000,22243
1635458400000,22242
1635372000000,22238
1635285600000,22235
1635199200000,22227
1634940000000,22222
1634853600000,22218
1634767200000,22211
1634680800000,22199
1634594400000,22192
1634421600000,22181
1634335200000,22179
1634248800000,22173
1634162400000,22169
1634076000000,22154
1633989600000,22143
1633903200000,22132
1633816800000,22130
1633730400000,22129
1633644000000,22123
1633557600000,22112
1633471200000,22098
1633384800000,22087
1633298400000,22069
1633212000000,22066
1633125600000,22063
1633039200000,22053
1632952800000,22042
1632866400000,22028
1632780000000,22011
1632693600000,21987
1632607200000,21984
1632520800000,21979
1632434400000,21976
1632348000000,21949
1632261600000,21930
1632175200000,21904
1632002400000,21863
1631916000000,21859
1631829600000,21829
1631743200000,21784
1631656800000,21729
1631570400000,21681
1631484000000,21640
1631397600000,21639
1631311200000,21630
1631224800000,21567
1631138400000,21476
1631052000000,21425
1630965600000,21331
1630879200000,21199
1630792800000,21162
1630706400000,21139
1630620000000,21025
1630533600000,20893
1630447200000,20758
1630360800000,20622
1630274400000,20534
1630188000000,20523
1630101600000,20495
1630015200000,20352
1629928800000,20267
1629842400000,20148
1629756000000,19992
1629669600000,19876
1629583200000,19869
1629496800000,19833
1629410400000,19725
1629324000000,19626
1629237600000,19464
1629151200000,19330
1629064800000,19188
1628978400000,19179
1628892000000,19155
1628805600000,19042
