,ID,Cases
0,1585951200000,1
1,1586210400000,2
2,1588284000000,8
3,1588543200000,10
4,1588716000000,11
5,1589320800000,12
6,1589493600000,13
7,1589580000000,14
8,1590184800000,16
9,1590530400000,17
10,1590616800000,18
11,1590962400000,20
12,1591048800000,21
13,1591221600000,22
14,1591308000000,26
15,1591394400000,27
16,1591567200000,29
17,1591653600000,32
18,1591740000000,33
19,1591826400000,35
20,1591912800000,37
21,1591999200000,38
22,1592258400000,39
23,1592431200000,42
24,1592604000000,47
25,1592690400000,48
26,1592776800000,50
27,1592863200000,58
28,1592949600000,60
29,1593036000000,65
30,1593122400000,82
31,1593208800000,97
32,1593295200000,105
33,1593381600000,117
34,1593468000000,132
35,1593554400000,155
36,1593640800000,166
37,1593727200000,193
38,1593813600000,216
39,1593900000000,242
40,1593986400000,255
41,1594072800000,286
42,1594159200000,324
43,1594245600000,380
44,1594332000000,416
45,1594418400000,464
46,1594504800000,491
47,1594591200000,503
48,1594677600000,560
49,1594764000000,616
50,1594850400000,661
51,1594936800000,714
52,1595023200000,779
53,1595109600000,809
54,1595196000000,840
55,1595282400000,905
56,1595368800000,995
57,1595455200000,1081
58,1595541600000,1178
59,1595628000000,1257
60,1595714400000,1302
61,1595800800000,1327
62,1595887200000,1403
63,1595973600000,1480
64,1596060000000,1563
65,1596146400000,1636
66,1596232800000,1734
67,1596319200000,1786
68,1596405600000,1820
69,1596492000000,1913
70,1596578400000,1964
71,1596664800000,2055
72,1596751200000,2129
73,1596837600000,2188
74,1596924000000,2227
75,1597010400000,2251
76,1597096800000,2292
77,1597183200000,2367
78,1597269600000,2465
79,1597356000000,2535
80,1597442400000,2610
81,1597528800000,2638
82,1597615200000,2664
83,1597701600000,2764
84,1597788000000,2839
85,1597874400000,2894
86,1597960800000,2965
87,1598047200000,3049
88,1598133600000,3083
89,1598220000000,3102
90,1598306400000,3174
91,1598392800000,3278
92,1598479200000,3336
93,1598565600000,3393
94,1598652000000,3448
95,1598738400000,3512
96,1598824800000,3556
97,1598911200000,3627
98,1598997600000,3746
99,1599084000000,3800
100,1599170400000,3903
101,1599256800000,3999
102,1599343200000,4052
103,1599429600000,4071
104,1599516000000,4152
105,1599602400000,4256
106,1599688800000,4350
107,1599775200000,4413
108,1599861600000,4478
109,1599948000000,4510
110,1600034400000,4528
111,1600120800000,4624
112,1600207200000,4699
113,1600293600000,4804
114,1600380000000,4904
115,1600466400000,5029
116,1600552800000,5088
117,1600639200000,5108
118,1600725600000,5207
119,1600812000000,5278
120,1600898400000,5339
121,1600984800000,5380
122,1601071200000,5471
123,1601157600000,5511
124,1601244000000,5528
125,1601330400000,5587
126,1601416800000,5713
127,1601503200000,5809
128,1601589600000,5896
129,1601676000000,5974
130,1601762400000,6008
131,1601848800000,6024
132,1601935200000,6101
133,1602021600000,6159
134,1602108000000,6284
135,1602194400000,6381
136,1602280800000,6444
137,1602367200000,6483
138,1602453600000,6496
139,1602540000000,6575
140,1602626400000,6639
141,1602712800000,6706
142,1602799200000,6753
143,1602885600000,6830
144,1602972000000,6875
145,1603058400000,6885
146,1603144800000,6948
147,1603231200000,6992
148,1603317600000,7034
149,1603404000000,7084
150,1603490400000,7120
151,1603576800000,7128
152,1603663200000,7133
153,1603749600000,7180
154,1603836000000,7210
155,1603922400000,7234
156,1604008800000,7256
157,1604095200000,7276
158,1604181600000,7286
159,1604268000000,7290
160,1604354400000,7311
161,1604440800000,7329
162,1604527200000,7344
163,1604613600000,7348
164,1604700000000,7360
165,1604786400000,7366
166,1604872800000,7373
167,1604959200000,7391
168,1605045600000,7398
169,1605132000000,7402
170,1605218400000,7420
171,1605304800000,7427
172,1605477600000,7428
173,1605564000000,7439
174,1605650400000,7447
175,1605736800000,7452
176,1605823200000,7467
177,1605909600000,7473
178,1605996000000,7478
179,1606082400000,7480
180,1606168800000,7486
181,1606255200000,7500
182,1606341600000,7503
183,1606428000000,7506
184,1606514400000,7513
185,1606600800000,7516
186,1606687200000,7518
187,1606773600000,7543
188,1606860000000,7553
189,1606946400000,7564
190,1607032800000,7569
191,1607119200000,7574
192,1607205600000,7582
193,1607292000000,7586
194,1607378400000,7600
195,1607464800000,7608
196,1607551200000,7612
197,1607637600000,7618
198,1607724000000,7620
199,1607810400000,7624
200,1607896800000,7625
201,1607983200000,7644
202,1608069600000,7650
203,1608156000000,7658
204,1608242400000,7671
205,1608328800000,7684
206,1608415200000,7688
207,1608501600000,7693
208,1608588000000,7710
209,1608674400000,7737
210,1608760800000,7755
211,1608847200000,7771
212,1608933600000,7777
213,1609020000000,7787
214,1609106400000,7799
215,1609192800000,7836
216,1609279200000,7868
217,1609365600000,7893
