Date,ID,Cases
2022-03-09,1646776800000,53438
2022-03-08,1646690400000,53427
2022-03-07,1646604000000,53384
2022-03-06,1646517600000,53380
2022-03-05,1646431200000,53363
2022-03-04,1646344800000,53333
2022-03-03,1646258400000,53297
2022-03-02,1646172000000,53261
2022-03-01,1646085600000,53230
2022-02-28,1645999200000,53186
2022-02-27,1645912800000,53173
2022-02-26,1645826400000,53157
2022-02-25,1645740000000,53136
2022-02-24,1645653600000,53112
2022-02-23,1645567200000,53067
2022-02-22,1645480800000,53035
2022-02-21,1645394400000,52985
2022-02-20,1645308000000,52981
2022-02-19,1645221600000,52967
2022-02-18,1645135200000,52946
2022-02-17,1645048800000,52912
2022-02-16,1644962400000,52867
2022-02-15,1644876000000,52824
2022-02-14,1644789600000,52770
2022-02-13,1644703200000,52753
2022-02-12,1644616800000,52739
2022-02-11,1644530400000,52699
2022-02-10,1644444000000,52643
2022-02-09,1644357600000,52604
2022-02-08,1644271200000,52548
2022-02-07,1644184800000,52499
2022-02-06,1644098400000,52490
2022-02-05,1644012000000,52476
2022-02-04,1643925600000,52438
2022-02-03,1643839200000,52380
2022-02-02,1643752800000,52344
2022-02-01,1643666400000,52283
2022-01-31,1643580000000,52211
2022-01-30,1643493600000,52202
2022-01-29,1643407200000,52186
2022-01-28,1643320800000,52157
2022-01-27,1643234400000,52124
2022-01-26,1643148000000,52079
2022-01-25,1643061600000,52050
2022-01-24,1642975200000,51978
2022-01-23,1642888800000,51968
2022-01-22,1642802400000,51954
2022-01-21,1642716000000,51937
2022-01-20,1642629600000,51913
2022-01-19,1642543200000,51883
2022-01-18,1642456800000,51862
2022-01-17,1642370400000,51820
2022-01-16,1642284000000,51809
2022-01-15,1642197600000,51790
2022-01-14,1642111200000,51768
2022-01-13,1642024800000,51737
2022-01-12,1641938400000,51715
2022-01-11,1641852000000,51677
2022-01-10,1641765600000,51637
2022-01-09,1641679200000,51622
2022-01-08,1641592800000,51591
2022-01-07,1641506400000,51568
2022-01-06,1641420000000,51529
2022-01-05,1641333600000,51478
2022-01-04,1641247200000,51412
2022-01-03,1641160800000,51325
2022-01-02,1641074400000,51306
2022-01-01,1640988000000,51285
2021-12-31,1640901600000,51241
2021-12-30,1640815200000,51187
2021-12-29,1640728800000,51113
2021-12-28,1640642400000,51050
2021-12-27,1640556000000,51026
2021-12-26,1640469600000,51000
2021-12-25,1640383200000,50984
2021-12-24,1640296800000,50917
