ID,Cases
GP-DC48,West Rand
1641506400000,58322
1641420000000,58277
1641333600000,58182
1641247200000,58082
1641160800000,57973
1641074400000,57935
1640988000000,57909
1640901600000,57838
1640815200000,57776
1640728800000,57707
1640642400000,57620
1640556000000,57577
1640469600000,57545
1640383200000,57524
1640296800000,57435
1640210400000,57296
1640124000000,57136
1640037600000,56894
1639951200000,56724
1639864800000,56670
1639778400000,56582
1639692000000,56384
1639605600000,56291
1639519200000,55994
1639432800000,55635
1639346400000,55214
1639260000000,55011
1639173600000,54784
1639087200000,54343
1639000800000,53787
1638914400000,53266
1638828000000,52752
1638741600000,52240
1638655200000,52109
1638568800000,51932
1638482400000,51527
1638396000000,51153
1638309600000,50854
1638223200000,50610
1638136800000,50409
1638050400000,50381
1637964000000,50354
1637877600000,50263
1637791200000,50189
1637704800000,50137
1637618400000,50089
1637532000000,50062
1637445600000,50054
1637359200000,50043
1637272800000,50017
1637186400000,50001
1637100000000,49992
1637013600000,49986
1636927200000,49983
1636840800000,49981
1636754400000,49978
1636668000000,49977
1636581600000,49972
1636408800000,49970
1636322400000,49966
1636149600000,49964
1636063200000,49961
1635976800000,49956
1635890400000,49955
1635544800000,49954
1635458400000,49953
1635372000000,49952
1635285600000,49948
1635199200000,49945
1635112800000,49944
1635026400000,49942
1634767200000,49939
1634680800000,49938
1634594400000,49936
1634508000000,49934
1634421600000,49932
1634335200000,49930
1634162400000,49929
1634076000000,49924
1633989600000,49919
1633903200000,49917
1633816800000,49916
1633730400000,49914
1633644000000,49907
1633557600000,49903
1633471200000,49900
1633384800000,49894
1633298400000,49892
1633212000000,49888
1633125600000,49881
1633039200000,49879
1632952800000,49876
1632866400000,49872
1632780000000,49864
1632693600000,49856
1632607200000,49852
1632520800000,49850
1632434400000,49845
1632348000000,49842
1632261600000,49830
1632175200000,49823
1632088800000,49815
1632002400000,49812
1631916000000,49807
1631829600000,49801
1631743200000,49795
1631656800000,49781
1631570400000,49764
1631484000000,49751
1631397600000,49747
1631311200000,49742
1631224800000,49725
1631138400000,49709
1631052000000,49696
1630965600000,49685
1630879200000,49654
1630792800000,49650
1630706400000,49641
1630620000000,49616
1630533600000,49592
1630447200000,49573
1630360800000,49535
1630274400000,49489
1630188000000,49479
1630101600000,49465
1630015200000,49441
1629928800000,49407
1629842400000,49370
1629756000000,49342
1629669600000,49302
1629583200000,49293
1629496800000,49275
1629410400000,49231
1629324000000,49174
