,ID,Cases
0,1585864800000,1
1,1586901600000,2
2,1589407200000,3
3,1589580000000,4
4,1589666400000,5
5,1590098400000,6
6,1590184800000,8
7,1590271200000,9
8,1590530400000,12
9,1590616800000,13
10,1590703200000,15
11,1590876000000,16
12,1591048800000,19
13,1591135200000,20
14,1591394400000,21
15,1591480800000,23
16,1591653600000,25
17,1591826400000,29
18,1591912800000,30
19,1591999200000,32
20,1592258400000,42
21,1592344800000,43
22,1592431200000,50
23,1592517600000,54
24,1592604000000,59
25,1592690400000,62
26,1592863200000,80
27,1592949600000,92
28,1593036000000,104
29,1593122400000,123
30,1593208800000,141
31,1593295200000,146
32,1593381600000,149
33,1593468000000,186
34,1593554400000,229
35,1593640800000,248
36,1593727200000,298
37,1593813600000,340
38,1593900000000,352
39,1593986400000,353
40,1594072800000,399
41,1594159200000,457
42,1594245600000,516
43,1594332000000,564
44,1594418400000,633
45,1594504800000,647
46,1594591200000,655
47,1594677600000,728
48,1594764000000,787
49,1594850400000,832
50,1594936800000,902
51,1595023200000,958
52,1595109600000,965
53,1595196000000,971
54,1595282400000,1038
55,1595368800000,1115
56,1595455200000,1158
57,1595541600000,1226
58,1595628000000,1278
59,1595714400000,1293
60,1595800800000,1296
61,1595887200000,1371
62,1595973600000,1411
63,1596060000000,1438
64,1596146400000,1459
65,1596232800000,1477
66,1596319200000,1480
67,1596405600000,1483
68,1596492000000,1521
69,1596578400000,1537
70,1596664800000,1558
71,1596751200000,1577
72,1596837600000,1591
73,1596924000000,1595
74,1597010400000,1596
75,1597096800000,1597
76,1597183200000,1614
77,1597269600000,1625
78,1597356000000,1631
79,1597442400000,1637
80,1597528800000,1639
81,1597615200000,1641
82,1597701600000,1651
83,1597788000000,1665
84,1597874400000,1670
85,1597960800000,1676
86,1598047200000,1682
87,1598306400000,1690
88,1598392800000,1695
89,1598479200000,1700
90,1598565600000,1708
91,1598652000000,1712
92,1598738400000,1714
93,1598824800000,1716
94,1598911200000,1719
95,1598997600000,1721
96,1599084000000,1724
97,1599170400000,1726
98,1599429600000,1727
99,1599516000000,1729
100,1599688800000,1730
101,1599775200000,1732
102,1599861600000,1737
103,1600120800000,1740
104,1600207200000,1746
105,1600293600000,1750
106,1600380000000,1752
107,1600639200000,1753
108,1600725600000,1760
109,1600812000000,1763
110,1600898400000,1764
111,1601071200000,1767
112,1601157600000,1768
113,1601244000000,1770
114,1601330400000,1775
115,1601416800000,1776
116,1601503200000,1777
117,1601589600000,1780
118,1601676000000,1783
119,1601762400000,1784
120,1601848800000,1785
121,1601935200000,1789
122,1602021600000,1792
123,1602108000000,1793
124,1602367200000,1794
125,1602540000000,1798
126,1602799200000,1799
127,1602885600000,1803
128,1602972000000,1804
129,1603144800000,1806
130,1603231200000,1807
131,1603317600000,1812
132,1603404000000,1813
133,1603490400000,1815
134,1603663200000,1816
135,1603749600000,1820
136,1603836000000,1827
137,1603922400000,1829
138,1604008800000,1833
139,1604354400000,1837
140,1604527200000,1841
141,1604613600000,1842
142,1604786400000,1843
143,1604959200000,1845
144,1605045600000,1848
145,1605132000000,1850
146,1605218400000,1855
147,1605304800000,1859
148,1605391200000,1861
149,1605477600000,1862
150,1605564000000,1870
151,1605650400000,1874
152,1605736800000,1879
153,1605823200000,1885
154,1605909600000,1892
155,1605996000000,1893
156,1606082400000,1895
157,1606168800000,1911
158,1606255200000,1916
159,1606341600000,1926
160,1606428000000,1935
161,1606514400000,1947
162,1606600800000,1950
163,1606773600000,1982
164,1606860000000,2000
165,1606946400000,2028
166,1607032800000,2060
167,1607119200000,2077
168,1607205600000,2082
169,1607292000000,2088
170,1607378400000,2144
171,1607464800000,2170
172,1607551200000,2229
173,1607637600000,2265
174,1607724000000,2314
175,1607810400000,2324
176,1607896800000,2340
177,1607983200000,2421
178,1608069600000,2498
179,1608156000000,2507
180,1608242400000,2574
181,1608328800000,2649
182,1608415200000,2661
183,1608501600000,2687
184,1608588000000,2767
185,1608674400000,2823
186,1608760800000,2924
187,1608847200000,2976
188,1608933600000,2988
189,1609020000000,2996
190,1609106400000,3004
191,1609192800000,3099
192,1609279200000,3187
193,1609365600000,3266
194,1609452000000,3345
195,1609538400000,3354
196,1609624800000,3363
197,1609711200000,3374
198,1609797600000,3484
199,1609884000000,3536
200,1609970400000,3594
201,1610056800000,3662
202,1610143200000,3702
203,1610229600000,3731
204,1610316000000,3747
205,1610402400000,3796
206,1610488800000,3840
207,1610575200000,3903
208,1610661600000,3923
209,1610748000000,3983
210,1610834400000,3996
211,1610920800000,4001
212,1611007200000,4028
213,1611093600000,4073
214,1611180000000,4128
215,1611266400000,4167
216,1611352800000,4199
217,1611525600000,4204
218,1611612000000,4229
219,1611698400000,4250
220,1611784800000,4263
221,1611871200000,4279
222,1611957600000,4291
223,1612044000000,4296
224,1612130400000,4297
225,1612216800000,4322
226,1612303200000,4330
227,1612389600000,4340
228,1612476000000,4348
229,1612562400000,4358
230,1612648800000,4360
231,1612735200000,4366
232,1612821600000,4371
233,1612908000000,4375
234,1612994400000,4378
235,1613080800000,4380
236,1613167200000,4384
237,1613253600000,4387
238,1613340000000,4389
239,1613426400000,4395
240,1613512800000,4401
241,1613599200000,4408
242,1613685600000,4413
243,1613772000000,4417
244,1613858400000,4419
245,1614031200000,4422
246,1614117600000,4424
247,1614204000000,4426
248,1614290400000,4427
249,1614376800000,4432
250,1614463200000,4436
251,1614549600000,4437
252,1614636000000,4441
253,1614722400000,4444
254,1614808800000,4447
255,1614895200000,4451
256,1614981600000,4452
257,1615068000000,4453
258,1615154400000,4455
259,1615240800000,4457
260,1615327200000,4463
261,1615413600000,4464
262,1615500000000,4465
263,1615586400000,4466
264,1615845600000,4471
265,1615932000000,4472
266,1616104800000,4474
267,1616277600000,4475
268,1616536800000,4476
269,1616623200000,4477
270,1616709600000,4478
271,1616796000000,4481
272,1617141600000,4482
273,1617228000000,4489
274,1617314400000,4490
275,1617487200000,4491
276,1617660000000,4492
277,1617746400000,4494
278,1617919200000,4495
279,1618005600000,4496
280,1618092000000,4497
281,1618264800000,4501
282,1618351200000,4504
283,1618524000000,4505
284,1619128800000,4506
285,1619215200000,4508
286,1619474400000,4512
287,1619560800000,4513
288,1619820000000,4514
289,1619906400000,4515
290,1620165600000,4516
291,1620338400000,4518
292,1620684000000,4519
293,1621893600000,4520
294,1621980000000,4523
295,1622066400000,4524
296,1622239200000,4529
297,1622412000000,4530
298,1622498400000,4531
299,1622584800000,4532
300,1622757600000,4533
301,1622844000000,4536
302,1623103200000,4543
303,1623276000000,4546
304,1623362400000,4547
305,1623448800000,4549
306,1623535200000,4550
307,1623621600000,4551
308,1623794400000,4556
309,1623880800000,4558
310,1623967200000,4560
311,1624053600000,4561
312,1624140000000,4562
313,1624399200000,4565
314,1624485600000,4567
315,1624572000000,4568
316,1624744800000,4570
317,1624831200000,4571
318,1624917600000,4574
319,1625004000000,4578
320,1625090400000,4583
321,1625176800000,4598
322,1625263200000,4601
323,1625349600000,4603
324,1625522400000,4606
325,1625608800000,4613
326,1625695200000,4621
327,1625781600000,4629
328,1625868000000,4636
329,1625954400000,4638
330,1626040800000,4644
331,1626127200000,4645
332,1626213600000,4649
333,1626300000000,4650
334,1626386400000,4653
335,1626472800000,4656
336,1626645600000,4658
337,1626732000000,4671
338,1626818400000,4681
339,1626904800000,4687
340,1626991200000,4695
341,1627077600000,4702
342,1627164000000,4706
343,1627250400000,4710
344,1627336800000,4726
345,1627423200000,4734
346,1627509600000,4748
347,1627596000000,4759
348,1627682400000,4773
349,1627768800000,4778
350,1627855200000,4781
351,1627941600000,4805
352,1628028000000,4821
353,1628114400000,4842
354,1628200800000,4868
355,1628287200000,4900
356,1628373600000,4907
357,1628460000000,4910
358,1628546400000,4922
359,1628632800000,4973
360,1628719200000,5008
361,1628805600000,5049
362,1628892000000,5085
363,1628978400000,5091
364,1629064800000,5098
365,1629151200000,5142
366,1629237600000,5165
367,1629324000000,5236
368,1629410400000,5301
369,1629496800000,5344
370,1629583200000,5366
371,1629669600000,5376
372,1629756000000,5418
373,1629842400000,5487
374,1629928800000,5531
375,1630015200000,5584
376,1630101600000,5617
377,1630188000000,5624
378,1630274400000,5629
379,1630360800000,5681
380,1630447200000,5710
381,1630533600000,5759
382,1630620000000,5794
383,1630706400000,5839
384,1630792800000,5846
385,1630879200000,5851
386,1630965600000,5885
387,1631052000000,5898
388,1631138400000,5924
389,1631224800000,5941
390,1631311200000,5954
391,1631397600000,5955
392,1631484000000,5961
393,1631570400000,5974
394,1631656800000,5990
395,1631743200000,5998
396,1631829600000,6010
397,1631916000000,6015
398,1632002400000,6017
399,1632175200000,6023
400,1632261600000,6028
401,1632348000000,6040
402,1632434400000,6042
403,1632520800000,6044
404,1632607200000,6047
405,1632780000000,6057
406,1632866400000,6062
407,1632952800000,6069
408,1633039200000,6073
409,1633125600000,6076
410,1633298400000,6077
411,1633384800000,6088
412,1633471200000,6089
413,1633557600000,6090
414,1633644000000,6092
415,1633816800000,6093
416,1633903200000,6094
417,1633989600000,6098
418,1634076000000,6099
419,1634162400000,6101
420,1634248800000,6102
421,1634421600000,6103
422,1634594400000,6104
423,1634767200000,6105
424,1634853600000,6106
425,1634940000000,6108
426,1635199200000,6109
427,1635458400000,6110
428,1635890400000,6111
429,1635976800000,6112
430,1636063200000,6113
431,1636668000000,6114
432,1637186400000,6115
433,1637272800000,6116
434,1637704800000,6117
435,1637877600000,6118
436,1638223200000,6122
437,1638309600000,6124
438,1638396000000,6126
439,1638482400000,6136
440,1638568800000,6144
441,1638655200000,6147
442,1638741600000,6151
443,1638828000000,6169
444,1638914400000,6197
445,1639000800000,6229
446,1639087200000,6252
447,1639173600000,6286
448,1639260000000,6296
449,1639346400000,6299
450,1639432800000,6344
451,1639519200000,6380
452,1639605600000,6424
453,1639692000000,6429
454,1639778400000,6491
455,1639864800000,6501
456,1639951200000,6509
457,1640037600000,6557
458,1640124000000,6628
459,1640210400000,6671
460,1640296800000,6718
461,1640383200000,6739
462,1640469600000,6742
463,1640556000000,6751
464,1640642400000,6759
465,1640728800000,6785
466,1640815200000,6807
467,1640901600000,6832
468,1640988000000,6849
469,1641074400000,6855
470,1641160800000,6857
471,1641247200000,6860
