ID,Cases
LP-DC34,Vhembe
1641592800000,17316
1641506400000,17292
1641420000000,17247
1641333600000,17185
1641247200000,17095
1641160800000,17007
1641074400000,16980
1640988000000,16954
1640901600000,16919
1640815200000,16822
1640728800000,16763
1640642400000,16671
1640556000000,16642
1640469600000,16633
1640383200000,16623
1640296800000,16568
1640210400000,16458
1640124000000,16363
1640037600000,16241
1639951200000,16066
1639864800000,16034
1639778400000,15989
1639692000000,15875
1639605600000,15838
1639519200000,15668
1639432800000,15495
1639346400000,15348
1639260000000,15333
1639173600000,15258
1639087200000,15095
1639000800000,14959
1638914400000,14801
1638828000000,14708
1638741600000,14622
1638655200000,14616
1638568800000,14584
1638482400000,14501
1638396000000,14449
1638309600000,14404
1638223200000,14374
1638136800000,14361
1638050400000,14359
1637964000000,14354
1637877600000,14349
1637791200000,14339
1637704800000,14335
1637618400000,14331
1637532000000,14329
1637186400000,14328
1637100000000,14327
1636754400000,14324
1636668000000,14323
1636149600000,14321
1635976800000,14320
1635890400000,14317
1635458400000,14315
1635285600000,14313
1635026400000,14312
1634940000000,14311
1634767200000,14310
1634680800000,14309
1634335200000,14308
1634248800000,14307
1634076000000,14306
1633557600000,14305
1633471200000,14303
1633384800000,14302
1633125600000,14300
1633039200000,14298
1632952800000,14297
1632866400000,14296
1632693600000,14294
1632520800000,14293
1632348000000,14291
1632261600000,14290
1632175200000,14289
1632088800000,14285
1632002400000,14284
1631916000000,14281
1631829600000,14277
1631743200000,14272
1631656800000,14271
1631570400000,14268
1631397600000,14257
1631311200000,14256
1631224800000,14251
1631138400000,14245
1631052000000,14239
1630965600000,14220
1630879200000,14211
1630792800000,14208
1630706400000,14202
1630620000000,14189
1630533600000,14179
1630447200000,14166
1630360800000,14151
1630274400000,14131
1630188000000,14129
1630101600000,14120
1630015200000,14101
1629928800000,14084
1629842400000,14065
1629756000000,14051
1629669600000,14019
1629583200000,14018
1629496800000,14010
1629410400000,13995
1629324000000,13975
1629237600000,13956
1629151200000,13926
1629064800000,13902
1628978400000,13892
1628892000000,13882
1628805600000,13860
1628719200000,13833
1628632800000,13802
1628546400000,13746
1628460000000,13740
1628373600000,13735
1628287200000,13714
1628200800000,13694
1628114400000,13650
1628028000000,13595
1627941600000,13555
1627855200000,13479
1627768800000,13474
1627682400000,13456
1627596000000,13412
1627509600000,13341
1627423200000,13275
1627336800000,13202
1627250400000,13075
1627164000000,13064
1627077600000,13027
1626991200000,12952
1626904800000,12848
1626818400000,12732
1626732000000,12582
1626645600000,12423
1626559200000,12407
1626472800000,12355
1626386400000,12220
1626300000000,12070
1626213600000,11861
1626127200000,11649
1626040800000,11390
1625954400000,11375
1625868000000,11257
1625781600000,11011
1625695200000,10789
1625608800000,10576
1625522400000,10284
1625436000000,10026
1625349600000,10018
1625263200000,9925
1625176800000,9707
1625090400000,9505
1625004000000,9264
1624917600000,9054
1624831200000,8889
1624744800000,8873
1624658400000,8823
1624572000000,8711
1624485600000,8586
1624399200000,8478
1624312800000,8378
1624226400000,8289
1624140000000,8283
1624053600000,8263
1623967200000,8209
1623880800000,8146
1623794400000,8144
1623708000000,8108
1623621600000,8087
1623535200000,8086
1623448800000,8078
1623362400000,8063
1623276000000,8057
1623189600000,8042
1623103200000,8029
1622930400000,8016
1622844000000,8013
1622757600000,8007
1622671200000,7998
1622584800000,7991
1622498400000,7985
1622239200000,7978
1622152800000,7974
1622066400000,7966
1621980000000,7961
1621893600000,7955
1621720800000,7950
1621634400000,7947
1621548000000,7942
1621461600000,7936
1621375200000,7931
1621288800000,7929
1621116000000,7926
1621029600000,7925
1620943200000,7924
1620856800000,7922
1620770400000,7921
1620684000000,7920
1620597600000,7917
1620511200000,7916
1620424800000,7914
1620338400000,7910
1620252000000,7903
1620165600000,7900
1620079200000,7898
1619820000000,7896
1619733600000,7895
1619647200000,7894
1619474400000,7892
1619388000000,7889
1619215200000,7887
1619128800000,7886
1618956000000,7885
1618869600000,7882
1618696800000,7876
1618610400000,7873
1618524000000,7870
1618437600000,7865
1618351200000,7859
1618264800000,7857
1618092000000,7853
1618005600000,7852
1617919200000,7848
1617832800000,7843
1617746400000,7834
1617660000000,7831
1617314400000,7830
1617228000000,7823
1617141600000,7822
1617055200000,7818
1616882400000,7815
1616796000000,7813
1616709600000,7810
1616623200000,7809
1616536800000,7805
1616450400000,7799
1616277600000,7798
1616191200000,7797
1616104800000,7793
1616018400000,7792
1615932000000,7791
1615845600000,7786
1615759200000,7783
1615586400000,7782
1615500000000,7779
1615413600000,7778
1615327200000,7776
1615240800000,7774
1614981600000,7771
1614895200000,7768
1614808800000,7763
1614722400000,7762
1614636000000,7757
1614549600000,7753
1614463200000,7752
1614376800000,7751
1614290400000,7748
1614204000000,7745
1614117600000,7742
1614031200000,7736
1613858400000,7730
1613772000000,7727
1613685600000,7720
1613599200000,7715
1613512800000,7708
1613426400000,7702
1613340000000,7689
1613253600000,7688
1613167200000,7682
1613080800000,7671
1612994400000,7666
1612908000000,7653
1612821600000,7634
1612735200000,7612
1612648800000,7606
1612562400000,7596
1612476000000,7570
1612389600000,7544
1612303200000,7508
1612216800000,7476
1612130400000,7447
1612044000000,7434
1611957600000,7421
1611871200000,7383
1611784800000,7354
1611698400000,7298
1611612000000,7243
1611525600000,7174
1611439200000,7163
1611352800000,7119
1611266400000,7046
1611180000000,6943
1611093600000,6819
1611007200000,6665
1610920800000,6556
1610834400000,6505
1610748000000,6434
1610661600000,6299
1610575200000,6074
1610488800000,5819
1610402400000,5589
1610316000000,5358
1610229600000,5254
1610143200000,5009
1610056800000,4823
1609970400000,4537
1609884000000,4274
1609797600000,3906
1609711200000,3675
1609624800000,3631
1609538400000,3514
1609452000000,3381
1609365600000,3123
1609279200000,2862
1609192800000,2648
1609106400000,2511
1609020000000,2486
1608933600000,2465
1608847200000,2429
1608760800000,2351
1608674400000,2273
1608588000000,2208
1608501600000,2156
1608415200000,2143
1608328800000,2137
1608242400000,2085
1608156000000,2063
1608069600000,2056
1607983200000,2033
1607896800000,2005
1607810400000,2001
1607724000000,1996
1607637600000,1974
1607551200000,1952
1607464800000,1935
1607378400000,1918
1607292000000,1907
1607205600000,1905
1607119200000,1901
1607032800000,1894
1606946400000,1886
1606860000000,1882
1606773600000,1872
1606687200000,1859
1606600800000,1856
1606514400000,1852
1606428000000,1836
1606341600000,1831
1606255200000,1821
1606168800000,1812
1605909600000,1808
1605823200000,1804
1605736800000,1801
1605650400000,1792
1605564000000,1787
1605477600000,1781
1605391200000,1780
1605304800000,1777
1605218400000,1765
1605132000000,1756
1605045600000,1748
1604959200000,1731
1604872800000,1726
1604786400000,1725
1604700000000,1718
1604613600000,1716
1604527200000,1710
1604440800000,1705
1604354400000,1695
1604181600000,1687
1604095200000,1682
1604008800000,1678
1603922400000,1671
1603836000000,1665
1603749600000,1647
1603576800000,1638
1603490400000,1636
1603404000000,1633
1603317600000,1623
1603231200000,1614
1603144800000,1601
1603058400000,1590
1602972000000,1589
1602885600000,1582
1602799200000,1577
1602712800000,1563
1602626400000,1549
1602540000000,1538
1602453600000,1529
1602367200000,1528
1602280800000,1525
1602194400000,1514
1602108000000,1511
1602021600000,1502
1601935200000,1492
1601848800000,1485
1601762400000,1481
1601676000000,1480
1601589600000,1476
1601503200000,1467
