ID,Cases
MP-DC32,Ehlanzeni
1641506400000,37794
1641420000000,37762
1641333600000,37651
1641247200000,37543
1641160800000,37417
1641074400000,37391
1640988000000,37360
1640901600000,37287
1640815200000,37176
1640728800000,37064
1640642400000,36888
1640556000000,36848
1640469600000,36820
1640383200000,36790
1640296800000,36702
1640210400000,36531
1640124000000,36321
1640037600000,36089
1639951200000,35834
1639864800000,35749
1639778400000,35593
1639692000000,35346
1639605600000,35223
1639519200000,34908
1639432800000,34559
1639346400000,34236
1639260000000,34155
1639173600000,34038
1639087200000,33847
1639000800000,33641
1638914400000,33399
1638828000000,33226
1638741600000,33071
1638655200000,33043
1638568800000,33000
1638482400000,32923
1638396000000,32827
1638309600000,32763
1638223200000,32717
1638136800000,32684
1638050400000,32677
1637964000000,32672
1637877600000,32665
1637791200000,32660
1637704800000,32650
1637618400000,32644
1637532000000,32642
1637445600000,32641
1637359200000,32639
1637272800000,32637
1637186400000,32633
1637100000000,32629
1637013600000,32628
1636840800000,32625
1636668000000,32624
1636408800000,32621
1636322400000,32620
1636236000000,32619
1636063200000,32618
1635976800000,32617
1635890400000,32614
1635544800000,32613
1635458400000,32609
1635372000000,32605
1635285600000,32604
1635199200000,32603
1635112800000,32592
1634940000000,32591
1634853600000,32588
1634680800000,32584
1634594400000,32581
1634421600000,32577
1634335200000,32575
1634248800000,32573
1634162400000,32567
1634076000000,32566
1633989600000,32561
1633903200000,32558
1633816800000,32556
1633730400000,32554
1633644000000,32549
1633557600000,32542
1633471200000,32535
1633384800000,32529
1633212000000,32525
1633125600000,32523
1633039200000,32518
1632952800000,32511
1632866400000,32503
1632780000000,32489
1632693600000,32471
1632607200000,32468
1632520800000,32464
1632434400000,32460
1632348000000,32445
1632261600000,32427
1632175200000,32402
1632088800000,32369
1632002400000,32364
1631916000000,32355
1631829600000,32330
1631743200000,32298
1631656800000,32280
1631570400000,32251
1631484000000,32217
1631397600000,32202
1631311200000,32183
1631224800000,32136
1631138400000,32098
1631052000000,32054
1630965600000,31997
1630879200000,31939
1630792800000,31927
1630706400000,31904
1630620000000,31828
1630533600000,31761
1630447200000,31681
1630360800000,31596
1630274400000,31507
1630188000000,31489
1630101600000,31435
1630015200000,31339
1629928800000,31220
1629842400000,31107
1629756000000,30959
1629669600000,30812
1629583200000,30773
1629496800000,30696
1629410400000,30530
1629324000000,30372
1629237600000,30232
1629151200000,30045
1629064800000,29848
1628978400000,29819
1628892000000,29745
1628805600000,29540
1628719200000,29368
1628632800000,29135
1628546400000,28908
1628460000000,28846
1628373600000,28798
1628287200000,28695
1628200800000,28482
1628114400000,28266
1628028000000,28091
1627941600000,27867
1627855200000,27626
1627768800000,27559
1627682400000,27437
1627596000000,27232
1627509600000,27056
1627423200000,26817
1627336800000,26529
1627250400000,26109
1627164000000,26046
1627077600000,25987
1626991200000,25797
1626904800000,25596
1626818400000,25410
1626732000000,25165
1626645600000,24889
1626559200000,24830
1626472800000,24667
1626386400000,24431
1626300000000,24196
1626213600000,23885
1626127200000,23499
1626040800000,23182
1625954400000,23071
1625868000000,22903
1625781600000,22545
1625695200000,22190
1625608800000,21842
1625522400000,21528
1625436000000,21201
1625349600000,21100
1625263200000,20956
1625176800000,20728
1625090400000,20468
1625004000000,20216
1624917600000,19998
1624831200000,19786
1624744800000,19719
1624658400000,19664
1624572000000,19526
1624485600000,19372
1624399200000,19227
1624312800000,19059
1624226400000,18917
1624140000000,18871
1624053600000,18822
1623967200000,18709
1623880800000,18607
1623794400000,18559
1623708000000,18464
1623621600000,18377
1623535200000,18355
1623448800000,18337
1623362400000,18290
1623276000000,18234
1623189600000,18182
1623103200000,18130
1623016800000,18104
1622930400000,18085
1622844000000,18070
1622757600000,18039
1622671200000,18012
1622584800000,17982
1622498400000,17946
1622412000000,17902
1622325600000,17898
1622239200000,17886
1622152800000,17858
1622066400000,17836
1621980000000,17806
1621893600000,17778
1621807200000,17737
1621720800000,17727
1621634400000,17715
1621548000000,17681
1621461600000,17651
1621375200000,17631
1621288800000,17610
1621202400000,17584
1621116000000,17574
1621029600000,17565
1620943200000,17543
1620856800000,17528
1620770400000,17505
1620684000000,17483
1620597600000,17458
1620511200000,17452
1620424800000,17443
1620338400000,17425
1620252000000,17412
1620165600000,17395
1620079200000,17378
1619992800000,17361
1619906400000,17358
1619820000000,17352
1619733600000,17345
1619647200000,17338
1619560800000,17316
1619474400000,17311
1619388000000,17300
1619301600000,17295
1619215200000,17286
1619128800000,17275
1619042400000,17262
1618956000000,17240
1618869600000,17227
1618783200000,17209
1618696800000,17205
1618610400000,17191
1618524000000,17160
1618437600000,17138
1618351200000,17122
1618264800000,17088
1618178400000,17074
1618092000000,17067
1618005600000,17060
1617919200000,17034
1617832800000,17003
1617746400000,16980
1617660000000,16929
1617573600000,16924
1617487200000,16915
1617400800000,16910
1617314400000,16903
1617228000000,16878
1617141600000,16857
1617055200000,16812
1616968800000,16784
1616882400000,16774
1616796000000,16753
1616709600000,16718
1616623200000,16690
1616536800000,16650
1616450400000,16613
1616364000000,16603
1616277600000,16596
1616191200000,16579
1616104800000,16554
1616018400000,16515
1615932000000,16476
1615845600000,16434
1615759200000,16380
1615672800000,16374
1615586400000,16347
1615500000000,16309
1615413600000,16278
1615327200000,16248
1615240800000,16203
1615154400000,16143
1615068000000,16139
1614981600000,16123
1614895200000,16092
1614808800000,16051
1614722400000,16016
1614636000000,15972
1614549600000,15936
1614463200000,15929
1614376800000,15894
1614290400000,15865
1614204000000,15831
1614117600000,15799
1614031200000,15757
1613944800000,15723
1613858400000,15714
1613772000000,15690
1613685600000,15655
1613599200000,15611
1613512800000,15571
1613426400000,15522
1613340000000,15459
1613253600000,15437
1613167200000,15418
1613080800000,15362
1612994400000,15293
1612908000000,15249
1612821600000,15199
1612735200000,15144
1612648800000,15135
1612562400000,15108
1612476000000,15042
1612389600000,14954
1612303200000,14852
1612216800000,14754
1612130400000,14632
1612044000000,14601
1611957600000,14550
1611871200000,14451
1611784800000,14342
1611698400000,14204
1611612000000,14004
1611525600000,13814
1611439200000,13763
1611352800000,13663
1611266400000,13459
1611180000000,13255
1611093600000,13034
1611007200000,12787
1610920800000,12616
1610834400000,12491
1610748000000,12276
1610661600000,11964
1610575200000,11696
1610488800000,11335
1610402400000,10988
1610316000000,10736
1610229600000,10653
1610143200000,10425
1610056800000,10104
1609970400000,9740
1609884000000,9382
1609797600000,8983
1609711200000,8698
1609624800000,8608
1609538400000,8439
1609452000000,8357
1609365600000,8141
1609279200000,7939
1609192800000,7754
1609106400000,7578
1609020000000,7540
1608933600000,7476
1608847200000,7451
1608760800000,7373
1608674400000,7279
1608588000000,7203
1608501600000,7128
1608415200000,7107
1608328800000,7072
1608242400000,7026
1608156000000,6973
1608069600000,6950
1607983200000,6890
1607896800000,6846
1607810400000,6830
1607724000000,6811
1607637600000,6767
1607551200000,6743
1607464800000,6706
1607378400000,6671
1607292000000,6632
1607205600000,6627
1607119200000,6608
1607032800000,6591
1606946400000,6575
1606860000000,6556
1606773600000,6540
1606687200000,6528
1606600800000,6525
1606514400000,6511
1606428000000,6500
1606341600000,6490
1606255200000,6464
1606168800000,6447
1606082400000,6435
1605996000000,6431
1605909600000,6426
1605823200000,6410
1605736800000,6379
1605650400000,6363
1605564000000,6333
1605477600000,6307
1605391200000,6303
1605304800000,6294
1605218400000,6275
1605132000000,6252
1605045600000,6224
1604959200000,6200
1604872800000,6177
1604786400000,6171
1604700000000,6153
1604613600000,6127
1604527200000,6097
1604440800000,6063
1604354400000,6034
1604268000000,5995
1604181600000,5988
1604095200000,5969
1604008800000,5948
1603922400000,5911
1603836000000,5872
1603749600000,5824
1603663200000,5783
1603576800000,5771
1603490400000,5752
1603404000000,5721
1603317600000,5702
1603231200000,5646
1603144800000,5604
1603058400000,5551
1602972000000,5528
1602885600000,5497
1602799200000,5475
1602712800000,5442
1602626400000,5395
1602540000000,5358
1602453600000,5308
1602367200000,5296
1602280800000,5270
1602194400000,5233
1602108000000,5202
1602021600000,5176
1601935200000,5129
1601848800000,5090
1601762400000,5086
1601676000000,5068
1601589600000,5034
