,ID,Cases
0,1588716000000,1
1,1589493600000,2
2,1589839200000,3
3,1590444000000,4
4,1590530400000,5
5,1590616800000,6
6,1590876000000,7
7,1591048800000,8
8,1591308000000,9
9,1591480800000,11
10,1591653600000,18
11,1591740000000,21
12,1591826400000,27
13,1591912800000,30
14,1591999200000,38
15,1592085600000,48
16,1592172000000,60
17,1592258400000,84
18,1592431200000,90
19,1592517600000,92
20,1592604000000,96
21,1592690400000,98
22,1592776800000,99
23,1592863200000,108
24,1592949600000,122
25,1593036000000,133
26,1593122400000,143
27,1593208800000,156
28,1593295200000,159
29,1593381600000,160
30,1593468000000,182
31,1593554400000,204
32,1593640800000,215
33,1593727200000,234
34,1593813600000,254
35,1593900000000,265
36,1593986400000,270
37,1594072800000,295
38,1594159200000,311
39,1594245600000,354
40,1594332000000,377
41,1594418400000,400
42,1594504800000,411
43,1594591200000,418
44,1594677600000,451
45,1594764000000,483
46,1594850400000,509
47,1594936800000,533
48,1595023200000,580
49,1595109600000,600
50,1595196000000,611
51,1595282400000,671
52,1595368800000,732
53,1595455200000,784
54,1595541600000,840
55,1595628000000,874
56,1595714400000,905
57,1595800800000,913
58,1595887200000,960
59,1595973600000,1000
60,1596060000000,1040
61,1596146400000,1078
62,1596232800000,1113
63,1596319200000,1135
64,1596405600000,1141
65,1596492000000,1176
66,1596578400000,1218
67,1596664800000,1248
68,1596751200000,1293
69,1596837600000,1316
70,1596924000000,1330
71,1597010400000,1334
72,1597096800000,1353
73,1597183200000,1391
74,1597269600000,1417
75,1597356000000,1446
76,1597442400000,1465
77,1597528800000,1479
78,1597615200000,1487
79,1597701600000,1510
80,1597788000000,1537
81,1597874400000,1549
82,1597960800000,1565
83,1598047200000,1591
84,1598133600000,1596
85,1598220000000,1598
86,1598306400000,1619
87,1598392800000,1634
88,1598479200000,1653
89,1598565600000,1668
90,1598652000000,1683
91,1598738400000,1687
92,1598824800000,1690
93,1598911200000,1709
94,1598997600000,1721
95,1599084000000,1733
96,1599170400000,1743
97,1599256800000,1763
98,1599343200000,1772
99,1599429600000,1774
100,1599516000000,1791
101,1599602400000,1803
102,1599688800000,1808
103,1599775200000,1823
104,1599861600000,1836
105,1599948000000,1844
106,1600034400000,1846
107,1600120800000,1872
108,1600207200000,1890
109,1600293600000,1904
110,1600380000000,1924
111,1600466400000,1932
112,1600552800000,1940
113,1600639200000,1946
114,1600725600000,1968
115,1600812000000,1991
116,1600898400000,2005
117,1600984800000,2011
118,1601071200000,2033
119,1601157600000,2047
120,1601244000000,2052
121,1601330400000,2063
122,1601416800000,2073
123,1601503200000,2088
124,1601589600000,2107
125,1601676000000,2127
126,1601762400000,2136
127,1601848800000,2142
128,1601935200000,2158
129,1602021600000,2176
130,1602108000000,2194
131,1602194400000,2205
132,1602280800000,2226
133,1602367200000,2233
134,1602453600000,2240
135,1602540000000,2259
136,1602626400000,2279
137,1602712800000,2294
138,1602799200000,2311
139,1602885600000,2332
140,1602972000000,2344
141,1603058400000,2347
142,1603144800000,2362
143,1603231200000,2374
144,1603317600000,2384
145,1603404000000,2399
146,1603490400000,2413
147,1603576800000,2416
148,1603663200000,2418
149,1603749600000,2434
150,1603836000000,2443
151,1603922400000,2461
152,1604008800000,2474
153,1604095200000,2488
154,1604181600000,2494
155,1604268000000,2497
156,1604354400000,2511
157,1604440800000,2525
158,1604527200000,2537
159,1604613600000,2539
160,1604700000000,2548
161,1604786400000,2550
162,1604872800000,2557
163,1604959200000,2570
164,1605045600000,2584
165,1605132000000,2595
166,1605218400000,2604
167,1605304800000,2612
168,1605391200000,2613
169,1605477600000,2615
170,1605564000000,2622
171,1605650400000,2628
172,1605736800000,2633
173,1605823200000,2640
174,1605909600000,2644
175,1605996000000,2645
176,1606082400000,2647
177,1606168800000,2657
178,1606255200000,2666
179,1606341600000,2668
180,1606428000000,2672
181,1606514400000,2675
182,1606600800000,2676
183,1606687200000,2680
184,1606773600000,2686
185,1606860000000,2700
186,1606946400000,2709
187,1607032800000,2713
188,1607119200000,2715
189,1607205600000,2716
