Date,ID,Cases
2022-06-18,1655503200000,64937
2022-06-17,1655330400000,64932
2022-06-16,1655244000000,64920
2022-06-15,1655157600000,64904
2022-06-14,1655071200000,64875
2022-06-13,1654984800000,64872
2022-06-12,1654898400000,64865
2022-06-11,1654812000000,64855
2022-06-10,1654725600000,64841
2022-06-09,1654639200000,64825
2022-06-08,1654552800000,64802
2022-06-07,1654466400000,64779
2022-06-06,1654380000000,64771
2022-06-05,1654293600000,64760
2022-06-04,1654207200000,64732
2022-06-03,1654120800000,64703
2022-06-02,1654034400000,64685
2022-06-01,1653948000000,64657
2022-05-31,1653861600000,64620
2022-05-30,1653775200000,64607
2022-05-29,1653688800000,64589
2022-05-28,1653602400000,64563
2022-05-27,1653516000000,64537
2022-05-26,1653429600000,64480
2022-05-25,1653343200000,64437
2022-05-24,1653256800000,64374
2022-05-23,1653170400000,64367
2022-05-22,1653084000000,64339
2022-05-21,1652997600000,64282
2022-05-20,1652911200000,64235
2022-05-19,1652824800000,64146
2022-05-18,1652738400000,64084
2022-05-17,1652652000000,63990
2022-05-16,1652565600000,63981
2022-05-15,1652479200000,63960
2022-05-14,1652392800000,63914
2022-05-13,1652306400000,63839
2022-05-12,1652220000000,63739
2022-05-11,1652133600000,63648
2022-05-10,1652047200000,63544
2022-05-09,1651960800000,63522
2022-05-08,1651874400000,63494
2022-05-07,1651788000000,63427
2022-05-06,1651701600000,63384
2022-05-05,1651615200000,63316
2022-05-04,1651528800000,63253
2022-05-03,1651442400000,63240
2022-05-02,1651356000000,63232
2022-05-01,1651269600000,63207
2022-04-30,1651183200000,63176
2022-04-29,1651096800000,63117
2022-04-28,1651010400000,63097
2022-04-27,1650924000000,63056
2022-04-26,1650837600000,63004
2022-04-25,1650751200000,62994
2022-04-24,1650664800000,62962
2022-04-23,1650578400000,62922
2022-04-22,1650492000000,62881
2022-04-21,1650405600000,62862
2022-04-20,1650319200000,62838
2022-04-19,1650232800000,62831
2022-04-18,1650146400000,62829
2022-04-17,1650060000000,62822
2022-04-16,1649973600000,62807
2022-04-15,1649887200000,62796
2022-04-14,1649800800000,62786
2022-04-13,1649714400000,62778
2022-04-12,1649628000000,62766
2022-04-11,1649541600000,62765
2022-04-10,1649455200000,62761
2022-04-09,1649368800000,62756
2022-04-08,1649282400000,62747
2022-04-07,1649196000000,62735
2022-04-06,1649109600000,62716
2022-04-05,1649023200000,62703
2022-04-04,1648936800000,62699
2022-04-03,1648850400000,62692
2022-04-02,1648764000000,62687
2022-04-01,1648677600000,62669
2022-03-31,1648591200000,62649
2022-03-30,1648504800000,62636
2022-03-29,1648418400000,62608
2022-03-28,1648332000000,62602
2022-03-27,1648245600000,62594
2022-03-26,1648159200000,62570
2022-03-25,1648072800000,62553
2022-03-24,1647986400000,62536
2022-03-23,1647900000000,62493
2022-03-22,1647813600000,62488
2022-03-21,1647727200000,62486
2022-03-20,1647640800000,62470
2022-03-19,1647554400000,62442
2022-03-18,1647468000000,62421
2022-03-17,1647381600000,62396
2022-03-16,1647295200000,62380
2022-03-15,1647208800000,62348
2022-03-14,1647122400000,62338
2022-03-13,1647036000000,62325
2022-03-12,1646949600000,62310
2022-03-11,1646863200000,62291
2022-03-10,1646776800000,62282
2022-03-09,1646690400000,62243
2022-03-08,1646604000000,62204
2022-03-07,1646517600000,62193
2022-03-06,1646431200000,62159
2022-03-05,1646344800000,62131
2022-03-04,1646258400000,62113
