,ID,Cases
0,1585346400000,1
1,1588629600000,2
2,1588975200000,3
3,1590098400000,4
4,1590530400000,5
5,1590703200000,6
6,1590789600000,8
7,1591135200000,12
8,1591221600000,13
9,1591480800000,14
10,1591653600000,15
11,1591740000000,17
12,1591826400000,19
13,1591912800000,20
14,1591999200000,21
15,1592085600000,22
16,1592172000000,23
17,1592258400000,24
18,1592344800000,26
19,1592431200000,27
20,1592517600000,29
21,1592604000000,39
22,1592690400000,41
23,1592776800000,50
24,1592863200000,63
25,1592949600000,68
26,1593036000000,76
27,1593122400000,86
28,1593208800000,103
29,1593295200000,115
30,1593381600000,121
31,1593468000000,139
32,1593554400000,167
33,1593640800000,195
34,1593727200000,240
35,1593813600000,272
36,1593900000000,288
37,1593986400000,297
38,1594072800000,322
39,1594159200000,374
40,1594245600000,401
41,1594332000000,466
42,1594418400000,532
43,1594504800000,580
44,1594591200000,594
45,1594677600000,648
46,1594764000000,737
47,1594850400000,846
48,1594936800000,896
49,1595023200000,981
50,1595109600000,1018
51,1595196000000,1042
52,1595282400000,1102
53,1595368800000,1201
54,1595455200000,1300
55,1595541600000,1337
56,1595628000000,1415
57,1595714400000,1447
58,1595800800000,1466
59,1595887200000,1514
60,1595973600000,1578
61,1596060000000,1615
62,1596146400000,1647
63,1596232800000,1684
64,1596319200000,1691
65,1596405600000,1697
66,1596492000000,1730
67,1596578400000,1776
68,1596664800000,1804
69,1596751200000,1831
70,1596837600000,1851
71,1596924000000,1864
72,1597010400000,1871
73,1597096800000,1872
74,1597183200000,1898
75,1597269600000,1918
76,1597356000000,1934
77,1597442400000,1948
78,1597528800000,1953
79,1597615200000,1958
80,1597701600000,1970
81,1597788000000,1987
82,1597874400000,1995
83,1597960800000,2008
84,1598047200000,2014
85,1598133600000,2017
86,1598220000000,2018
87,1598306400000,2025
88,1598392800000,2037
89,1598479200000,2044
90,1598565600000,2047
91,1598652000000,2049
92,1598911200000,2060
93,1598997600000,2065
94,1599084000000,2070
95,1599170400000,2078
96,1599256800000,2081
97,1599343200000,2082
98,1599429600000,2084
99,1599516000000,2094
100,1599602400000,2103
101,1599688800000,2108
102,1599775200000,2113
103,1599861600000,2116
104,1600034400000,2117
105,1600120800000,2123
106,1600207200000,2124
107,1600293600000,2128
108,1600380000000,2131
109,1600466400000,2135
110,1600552800000,2136
111,1600725600000,2150
112,1600898400000,2155
113,1601244000000,2157
114,1601330400000,2160
115,1601416800000,2161
116,1601676000000,2165
117,1601848800000,2166
118,1601935200000,2168
119,1602021600000,2170
120,1602108000000,2171
121,1602280800000,2172
122,1602540000000,2175
123,1602626400000,2176
124,1602712800000,2178
125,1602799200000,2182
126,1602885600000,2184
127,1602972000000,2185
128,1603144800000,2187
129,1603317600000,2191
130,1603404000000,2192
131,1603490400000,2194
132,1603749600000,2197
133,1603836000000,2198
134,1604008800000,2199
135,1604095200000,2201
136,1604354400000,2202
137,1604527200000,2203
138,1604613600000,2204
139,1605132000000,2206
140,1605218400000,2210
141,1605304800000,2212
142,1605564000000,2215
143,1605650400000,2217
144,1605736800000,2219
145,1605823200000,2222
146,1605909600000,2224
147,1605996000000,2225
148,1606168800000,2229
149,1606255200000,2231
150,1606341600000,2233
151,1606514400000,2234
152,1606600800000,2236
153,1606687200000,2238
154,1606773600000,2241
155,1606860000000,2249
156,1606946400000,2251
157,1607032800000,2257
158,1607119200000,2266
159,1607205600000,2267
160,1607292000000,2271
161,1607378400000,2285
162,1607464800000,2298
163,1607551200000,2309
164,1607637600000,2323
165,1607724000000,2334
166,1607810400000,2345
167,1607896800000,2358
168,1607983200000,2365
