,ID,Cases
0,1585692000000,1
1,1585951200000,2
2,1586210400000,3
3,1586296800000,4
4,1590098400000,6
5,1590444000000,7
6,1591048800000,8
7,1591394400000,10
8,1591653600000,11
9,1591740000000,16
10,1591826400000,22
11,1591912800000,25
12,1591999200000,32
13,1592085600000,34
14,1592172000000,35
15,1592258400000,42
16,1592431200000,44
17,1592517600000,49
18,1592604000000,52
19,1592690400000,55
20,1592863200000,61
21,1592949600000,74
22,1593036000000,83
23,1593122400000,97
24,1593208800000,106
25,1593295200000,110
26,1593381600000,114
27,1593468000000,136
28,1593554400000,153
29,1593640800000,169
30,1593727200000,195
31,1593813600000,209
32,1593900000000,225
33,1593986400000,229
34,1594072800000,250
35,1594159200000,281
36,1594245600000,312
37,1594332000000,320
38,1594418400000,334
39,1594504800000,347
40,1594591200000,349
41,1594677600000,362
42,1594764000000,387
43,1594850400000,416
44,1594936800000,445
45,1595023200000,468
46,1595109600000,480
47,1595196000000,483
48,1595282400000,517
49,1595368800000,556
50,1595455200000,585
51,1595541600000,615
52,1595628000000,647
53,1595714400000,652
54,1595800800000,655
55,1595887200000,684
56,1595973600000,720
57,1596060000000,748
58,1596146400000,768
59,1596232800000,796
60,1596319200000,812
61,1596405600000,815
62,1596492000000,860
63,1596578400000,888
64,1596664800000,920
65,1596751200000,951
66,1596837600000,960
67,1596924000000,967
68,1597010400000,971
69,1597096800000,973
70,1597183200000,987
71,1597269600000,1019
72,1597356000000,1038
73,1597442400000,1049
74,1597528800000,1055
75,1597615200000,1056
76,1597701600000,1084
77,1597788000000,1098
78,1597874400000,1117
79,1597960800000,1126
80,1598047200000,1142
81,1598133600000,1145
82,1598220000000,1151
83,1598306400000,1171
84,1598392800000,1181
85,1598479200000,1192
86,1598565600000,1204
87,1598652000000,1215
88,1598738400000,1219
89,1598824800000,1224
90,1598911200000,1242
91,1598997600000,1255
92,1599084000000,1272
93,1599170400000,1277
94,1599256800000,1283
95,1599343200000,1286
96,1599429600000,1288
97,1599516000000,1294
98,1599602400000,1302
99,1599688800000,1313
100,1599775200000,1318
