Date,ID,Cases
2022-07-17,1657836000000,413581
2022-07-16,1657749600000,413563
2022-07-15,1657663200000,413523
2022-07-14,1657576800000,413478
2022-07-13,1657490400000,413421
2022-07-12,1657404000000,413405
2022-07-11,1657317600000,413387
2022-07-10,1657231200000,413358
2022-07-09,1657144800000,413324
2022-07-08,1657058400000,413277
2022-07-07,1656972000000,413226
2022-07-06,1656885600000,413153
2022-07-05,1656799200000,413129
2022-07-04,1656712800000,413098
2022-07-03,1656626400000,413047
2022-07-02,1656540000000,413005
2022-07-01,1656453600000,412934
2022-06-30,1656367200000,412860
2022-06-29,1656280800000,412798
2022-06-28,1656194400000,412779
2022-06-27,1656108000000,412751
2022-06-26,1656021600000,412705
2022-06-25,1655935200000,412640
2022-06-24,1655848800000,412551
2022-06-23,1655762400000,412504
2022-06-22,1655676000000,412408
2022-06-21,1655589600000,412382
2022-06-20,1655503200000,412373
2022-06-19,1655416800000,412316
2022-06-18,1655330400000,412279
2022-06-17,1655244000000,412155
2022-06-16,1655157600000,412013
2022-06-15,1655071200000,411832
2022-06-14,1654984800000,411742
2022-06-13,1654898400000,411653
2022-06-12,1654812000000,411469
2022-06-11,1654725600000,411355
2022-06-10,1654639200000,411162
2022-06-09,1654552800000,410858
2022-06-08,1654466400000,410531
2022-06-07,1654380000000,410413
2022-06-06,1654293600000,410272
2022-06-05,1654207200000,410008
2022-06-04,1654120800000,409701
2022-06-03,1654034400000,409360
2022-06-02,1653948000000,408940
2022-06-01,1653861600000,408383
2022-05-31,1653775200000,408219
2022-05-30,1653688800000,408015
2022-05-29,1653602400000,407523
2022-05-28,1653516000000,406939
2022-05-27,1653429600000,406243
2022-05-26,1653343200000,405398
2022-05-25,1653256800000,404386
2022-05-24,1653170400000,404129
2022-05-23,1653084000000,403819
2022-05-22,1652997600000,403128
2022-05-21,1652911200000,402309
2022-05-20,1652824800000,401235
2022-05-19,1652738400000,400078
2022-05-18,1652652000000,398841
2022-05-17,1652565600000,398601
2022-05-16,1652479200000,398234
2022-05-15,1652392800000,397469
2022-05-14,1652306400000,396521
2022-05-13,1652220000000,395584
2022-05-12,1652133600000,394546
2022-05-11,1652047200000,393282
2022-05-10,1651960800000,392999
2022-05-09,1651874400000,392635
2022-05-08,1651788000000,391667
2022-05-07,1651701600000,390774
2022-05-06,1651615200000,389856
2022-05-05,1651528800000,388965
2022-05-04,1651442400000,388670
2022-05-03,1651356000000,388446
2022-05-02,1651269600000,388203
2022-05-01,1651183200000,387650
2022-04-30,1651096800000,387005
2022-04-29,1651010400000,386783
2022-04-28,1650924000000,386239
2022-04-27,1650837600000,385669
2022-04-26,1650751200000,385537
2022-04-25,1650664800000,385334
2022-04-24,1650578400000,384916
2022-04-23,1650492000000,384469
2022-04-22,1650405600000,384070
