ID,Cases
WC-DC3,Overberg
1641592800000,26645
1641506400000,26621
1641420000000,26505
1641333600000,26366
1641247200000,26206
1641160800000,26050
1641074400000,26027
1640988000000,26003
1640901600000,25862
1640815200000,25703
1640728800000,25520
1640642400000,25324
1640556000000,25276
1640469600000,25254
1640383200000,25236
1640296800000,25098
1640210400000,24960
1640124000000,24746
1640037600000,24601
1639951200000,24385
1639864800000,24362
1639778400000,24315
1639692000000,24181
1639605600000,24148
1639519200000,24053
1639432800000,23950
1639346400000,23858
1639260000000,23841
1639173600000,23818
1639087200000,23758
1639000800000,23720
1638914400000,23685
1638828000000,23662
1638741600000,23642
1638655200000,23641
1638568800000,23637
1638482400000,23627
1638396000000,23619
1638309600000,23601
1638223200000,23594
1638136800000,23587
1638050400000,23586
1637964000000,23584
1637877600000,23581
1637791200000,23579
1637704800000,23574
1637618400000,23572
1637359200000,23570
1637186400000,23568
1637100000000,23567
1637013600000,23566
1636927200000,23562
1636754400000,23561
1636668000000,23557
1636581600000,23555
1636495200000,23551
1636408800000,23548
1636236000000,23541
1636149600000,23540
1636063200000,23537
1635890400000,23536
1635804000000,23534
1635717600000,23533
1635631200000,23532
1635544800000,23531
1635458400000,23529
1635372000000,23525
1635285600000,23523
1635199200000,23516
1635026400000,23509
1634940000000,23508
1634853600000,23503
1634767200000,23496
1634680800000,23491
1634594400000,23486
1634508000000,23474
1634421600000,23473
1634335200000,23471
1634248800000,23461
1634162400000,23453
1634076000000,23442
1633989600000,23437
1633816800000,23408
1633730400000,23406
1633644000000,23399
1633557600000,23383
1633471200000,23371
1633384800000,23360
1633298400000,23340
1633212000000,23338
1633125600000,23334
1633039200000,23324
1632952800000,23305
1632866400000,23288
1632780000000,23266
1632693600000,23233
1632607200000,23230
1632520800000,23228
1632434400000,23225
1632348000000,23190
1632261600000,23155
1632175200000,23127
1632088800000,23081
1632002400000,23075
1631916000000,23071
1631829600000,23032
1631743200000,23000
1631656800000,22932
1631570400000,22891
1631484000000,22829
1631397600000,22824
1631311200000,22820
1631224800000,22768
1631138400000,22707
1631052000000,22637
1630965600000,22529
1630879200000,22429
1630792800000,22421
1630706400000,22400
1630620000000,22279
1630533600000,22181
1630447200000,22057
1630360800000,21927
1630274400000,21854
1630188000000,21843
1630101600000,21788
1630015200000,21633
1629928800000,21493
1629842400000,21352
1629756000000,21116
1629669600000,20978
1629583200000,20964
1629496800000,20934
1629410400000,20772
1629324000000,20590
1629237600000,20377
1629151200000,20134
1629064800000,19991
1628978400000,19970
1628892000000,19853
1628805600000,19708
1628719200000,19541
1628632800000,19310
1628546400000,19143
1628460000000,19123
1628373600000,19083
1628287200000,19021
1628200800000,18917
1628114400000,18735
1628028000000,18571
1627941600000,18369
1627855200000,18255
1627768800000,18243
1627682400000,18167
1627596000000,18057
1627509600000,17822
1627423200000,17666
1627336800000,17488
1627250400000,17282
1627164000000,17269
1627077600000,17245
1626991200000,17101
1626904800000,16960
1626818400000,16857
1626732000000,16720
1626645600000,16519
1626559200000,16508
1626472800000,16467
1626386400000,16379
1626300000000,16247
1626213600000,16122
1626127200000,15928
1626040800000,15774
1625954400000,15764
1625868000000,15739
1625781600000,15624
1625695200000,15513
1625608800000,15404
1625522400000,15274
1625436000000,15093
1625349600000,15074
1625263200000,15043
1625176800000,14914
1625090400000,14786
1625004000000,14647
1624917600000,14524
1624831200000,14351
1624744800000,14334
1624658400000,14316
1624572000000,14200
1624485600000,14099
1624399200000,14002
1624312800000,13816
1624226400000,13695
1624140000000,13685
1624053600000,13668
