,ID,Cases
0,1585692000000,1
1,1587592800000,2
2,1588888800000,3
3,1589925600000,4
4,1590184800000,5
5,1590444000000,6
6,1590616800000,7
7,1591048800000,8
8,1591135200000,9
9,1591308000000,10
10,1591394400000,11
11,1591480800000,12
12,1591653600000,13
13,1591826400000,17
14,1591912800000,22
15,1591999200000,50
16,1592085600000,52
17,1592517600000,55
18,1592604000000,57
19,1592863200000,61
20,1592949600000,63
21,1593036000000,64
22,1593122400000,67
23,1593208800000,73
24,1593381600000,74
25,1593468000000,76
26,1593554400000,81
27,1593640800000,82
28,1593727200000,87
29,1593813600000,92
30,1593900000000,95
31,1593986400000,96
32,1594072800000,113
33,1594245600000,115
34,1594332000000,126
35,1594418400000,132
36,1594591200000,133
37,1594677600000,138
38,1594764000000,142
39,1594850400000,146
40,1594936800000,150
41,1595023200000,164
42,1595109600000,166
43,1595282400000,179
44,1595368800000,189
45,1595455200000,196
46,1595541600000,210
47,1595628000000,222
48,1595714400000,230
49,1595800800000,234
50,1595887200000,252
51,1595973600000,277
52,1596060000000,302
53,1596146400000,315
54,1596232800000,328
55,1596319200000,329
56,1596405600000,334
57,1596492000000,356
58,1596578400000,384
59,1596664800000,416
60,1596751200000,431
61,1596837600000,464
62,1596924000000,495
63,1597096800000,499
64,1597183200000,516
65,1597269600000,528
66,1597356000000,566
67,1597442400000,589
68,1597528800000,593
69,1597615200000,601
70,1597701600000,620
71,1597788000000,643
72,1597874400000,677
73,1597960800000,696
74,1598047200000,719
75,1598133600000,725
76,1598220000000,726
77,1598306400000,755
78,1598392800000,772
79,1598479200000,791
80,1598565600000,818
81,1598652000000,839
82,1598738400000,846
83,1598824800000,860
84,1598911200000,906
85,1598997600000,975
86,1599084000000,1013
87,1599170400000,1063
88,1599256800000,1091
89,1599343200000,1119
90,1599429600000,1127
91,1599516000000,1155
92,1599602400000,1244
93,1599688800000,1271
94,1599775200000,1313
95,1599861600000,1377
96,1599948000000,1409
97,1600034400000,1416
98,1600120800000,1470
99,1600207200000,1533
100,1600293600000,1582
101,1600380000000,1622
102,1600466400000,1654
103,1600552800000,1666
104,1600639200000,1691
105,1600725600000,1744
106,1600812000000,1815
107,1600898400000,1881
108,1601071200000,1922
109,1601157600000,1964
110,1601244000000,1985
111,1601330400000,2030
112,1601416800000,2069
113,1601503200000,2156
114,1601589600000,2203
115,1601676000000,2250
116,1601762400000,2260
117,1601848800000,2275
118,1601935200000,2324
119,1602021600000,2359
120,1602108000000,2397
121,1602194400000,2435
122,1602280800000,2492
123,1602367200000,2504
124,1602453600000,2515
125,1602540000000,2559
126,1602626400000,2606
127,1602712800000,2654
128,1602799200000,2690
129,1602885600000,2717
130,1602972000000,2723
131,1603058400000,2729
132,1603144800000,2775
133,1603231200000,2819
134,1603317600000,2841
135,1603404000000,2865
136,1603490400000,2878
137,1603576800000,2882
138,1603663200000,2883
139,1603749600000,2923
140,1603836000000,2946
141,1603922400000,2961
142,1604008800000,2982
143,1604095200000,3010
144,1604181600000,3012
