Date,ID,Cases
2022-01-11,1641765600000,104581
2022-01-10,1641679200000,104550
2022-01-09,1641592800000,104464
2022-01-08,1641506400000,104121
2022-01-07,1641420000000,103813
2022-01-06,1641333600000,103412
2022-01-05,1641247200000,103050
2022-01-04,1641160800000,102663
2022-01-03,1641074400000,102597
2022-01-02,1640988000000,102540
2022-01-01,1640901600000,102281
2021-12-31,1640815200000,101961
2021-12-30,1640728800000,101606
2021-12-29,1640642400000,101221
2021-12-28,1640556000000,101142
2021-12-27,1640469600000,101062
2021-12-26,1640383200000,100981
2021-12-25,1640296800000,100631
2021-12-24,1640210400000,100135
2021-12-23,1640124000000,99696
2021-12-22,1640037600000,99251
2021-12-21,1639951200000,98557
2021-12-20,1639864800000,98389
2021-12-19,1639778400000,98092
2021-12-18,1639692000000,97525
2021-12-17,1639605600000,97215
2021-12-16,1639519200000,96680
2021-12-15,1639432800000,95989
2021-12-14,1639346400000,95527
2021-12-13,1639260000000,95412
2021-12-12,1639173600000,95129
2021-12-11,1639087200000,94720
2021-12-10,1639000800000,94359
2021-12-09,1638914400000,94138
2021-12-08,1638828000000,93944
2021-12-07,1638741600000,93777
2021-12-06,1638655200000,93742
2021-12-05,1638568800000,93703
2021-12-04,1638482400000,93621
2021-12-03,1638396000000,93532
2021-12-02,1638309600000,93409
2021-12-01,1638223200000,93370
2021-11-30,1638136800000,93333
2021-11-29,1638050400000,93330
2021-11-28,1637964000000,93321
2021-11-27,1637877600000,93292
2021-11-26,1637791200000,93245
2021-11-25,1637704800000,93215
2021-11-24,1637618400000,93190
2021-11-23,1637532000000,93163
2021-11-22,1637445600000,93158
2021-11-21,1637359200000,93151
2021-11-20,1637272800000,93038
2021-11-19,1637186400000,92984
2021-11-18,1637100000000,92969
2021-11-17,1637013600000,92958
2021-11-16,1636927200000,92941
2021-11-15,1636840800000,92936
2021-11-14,1636754400000,92930
2021-11-13,1636668000000,92904
2021-11-12,1636581600000,92879
2021-11-11,1636495200000,92841
2021-11-10,1636408800000,92811
2021-11-09,1636322400000,92780
2021-11-08,1636236000000,92776
2021-11-07,1636149600000,92768
2021-11-06,1636063200000,92745
2021-11-05,1635976800000,92721
2021-11-04,1635890400000,92700
2021-11-03,1635804000000,92673
2021-11-02,1635717600000,92665
2021-11-01,1635631200000,92661
2021-10-31,1635544800000,92651
2021-10-30,1635458400000,92627
2021-10-29,1635372000000,92591
2021-10-28,1635285600000,92549
2021-10-27,1635199200000,92497
2021-10-26,1635112800000,92447
2021-10-25,1635026400000,92434
2021-10-24,1634940000000,92428
2021-10-23,1634853600000,92391
2021-10-22,1634767200000,92344
2021-10-21,1634680800000,92298
2021-10-20,1634594400000,92242
2021-10-19,1634508000000,92185
2021-10-18,1634421600000,92173
2021-10-17,1634335200000,92158
2021-10-16,1634248800000,92101
2021-10-15,1634162400000,92042
2021-10-14,1634076000000,91989
2021-10-13,1633989600000,91905
2021-10-12,1633903200000,91780
2021-10-11,1633816800000,91771
2021-10-10,1633730400000,91753
2021-10-09,1633644000000,91656
2021-10-08,1633557600000,91566
2021-10-07,1633471200000,91496
2021-10-06,1633384800000,91418
2021-10-05,1633298400000,91299
2021-10-04,1633212000000,91280
2021-10-03,1633125600000,91244
2021-10-02,1633039200000,91128
2021-10-01,1632952800000,91014
2021-09-30,1632866400000,90860
2021-09-29,1632780000000,90684
2021-09-28,1632693600000,90478
2021-09-27,1632607200000,90454
2021-09-26,1632520800000,90428
2021-09-25,1632434400000,90360
2021-09-24,1632348000000,90087
2021-09-23,1632261600000,89789
2021-09-22,1632175200000,89444
2021-09-21,1632088800000,89143
2021-09-20,1632002400000,89114
2021-09-19,1631916000000,88939
2021-09-18,1631829600000,88668
2021-09-17,1631743200000,88388
2021-09-16,1631656800000,88057
2021-09-15,1631570400000,87592
2021-09-14,1631484000000,87258
2021-09-13,1631397600000,87192
2021-09-12,1631311200000,86977
2021-09-11,1631224800000,86536
2021-09-10,1631138400000,86119
2021-09-09,1631052000000,85637
2021-09-08,1630965600000,85197
2021-09-07,1630879200000,84744
2021-09-06,1630792800000,84653
2021-09-05,1630706400000,84488
2021-09-04,1630620000000,83972
2021-09-03,1630533600000,83383
2021-09-02,1630447200000,82912
2021-09-01,1630360800000,82335
2021-08-31,1630274400000,81704
2021-08-30,1630188000000,81543
2021-08-29,1630101600000,81333
2021-08-28,1630015200000,80888
2021-08-27,1629928800000,80241
2021-08-26,1629842400000,79680
2021-08-25,1629756000000,78888
2021-08-24,1629669600000,78347
2021-08-23,1629583200000,77984
2021-08-22,1629496800000,77584
2021-08-21,1629410400000,77006
2021-08-20,1629324000000,76332
2021-08-19,1629237600000,75767
2021-08-18,1629151200000,75027
2021-08-17,1629064800000,74353
2021-08-16,1628978400000,74266
2021-08-15,1628892000000,73773
2021-08-14,1628805600000,73130
2021-08-13,1628719200000,72341
2021-08-12,1628632800000,71639
2021-08-11,1628546400000,71056
2021-08-10,1628460000000,70985
2021-08-09,1628373600000,70910
2021-08-08,1628287200000,70699
2021-08-07,1628200800000,70199
2021-08-06,1628114400000,69705
2021-08-05,1628028000000,69155
2021-08-04,1627941600000,68622
2021-08-03,1627855200000,68153
2021-08-02,1627768800000,68085
2021-08-01,1627682400000,67957
2021-07-31,1627596000000,67476
2021-07-30,1627509600000,66991
2021-07-29,1627423200000,66507
2021-07-28,1627336800000,66012
2021-07-27,1627250400000,65577
2021-07-26,1627164000000,65502
2021-07-25,1627077600000,65442
2021-07-24,1626991200000,65108
2021-07-23,1626904800000,64803
2021-07-22,1626818400000,64442
2021-07-21,1626732000000,64033
2021-07-20,1626645600000,63634
2021-07-19,1626559200000,63560
2021-07-18,1626472800000,63481
2021-07-17,1626386400000,63210
2021-07-16,1626300000000,62938
2021-07-15,1626213600000,62652
2021-07-14,1626127200000,62247
2021-07-13,1626040800000,61965
2021-07-12,1625954400000,61923
2021-07-11,1625868000000,61837
2021-07-10,1625781600000,61547
2021-07-09,1625695200000,61283
2021-07-08,1625608800000,60973
2021-07-07,1625522400000,60680
2021-07-06,1625436000000,60381
2021-07-05,1625349600000,60330
2021-07-04,1625263200000,60176
2021-07-03,1625176800000,59882
2021-07-02,1625090400000,59519
2021-07-01,1625004000000,59265
2021-06-30,1624917600000,59013
2021-06-29,1624831200000,58781
2021-06-28,1624744800000,58739
2021-06-27,1624658400000,58624
2021-06-26,1624572000000,58365
2021-06-25,1624485600000,58080
2021-06-24,1624399200000,57807
2021-06-23,1624312800000,57408
2021-06-22,1624226400000,57112
2021-06-21,1624140000000,57014
2021-06-20,1624053600000,56877
2021-06-19,1623967200000,56477
2021-06-18,1623880800000,56105
2021-06-17,1623794400000,55948
2021-06-16,1623708000000,55532
2021-06-15,1623621600000,55195
2021-06-14,1623535200000,55098
2021-06-13,1623448800000,54953
2021-06-12,1623362400000,54583
2021-06-11,1623276000000,54243
2021-06-10,1623189600000,53831
2021-06-09,1623103200000,53455
2021-06-08,1623016800000,53091
2021-06-07,1622930400000,53002
2021-06-06,1622844000000,52874
2021-06-05,1622757600000,52483
2021-06-04,1622671200000,52146
2021-06-03,1622584800000,51861
2021-06-02,1622498400000,51401
2021-06-01,1622412000000,51035
2021-05-31,1622325600000,50938
2021-05-30,1622239200000,50523
2021-05-29,1622152800000,50040
2021-05-28,1622066400000,49554
2021-05-27,1621980000000,49093
2021-05-26,1621893600000,48526
2021-05-25,1621807200000,48143
2021-05-24,1621720800000,47940
2021-05-23,1621634400000,47713
2021-05-22,1621548000000,46938
2021-05-21,1621461600000,46438
2021-05-20,1621375200000,46007
2021-05-19,1621288800000,45532
2021-05-18,1621202400000,45112
2021-05-17,1621116000000,44945
2021-05-16,1621029600000,44697
2021-05-15,1620943200000,44138
2021-05-14,1620856800000,43738
2021-05-13,1620770400000,43288
2021-05-12,1620684000000,42813
2021-05-11,1620597600000,42424
2021-05-10,1620511200000,42338
2021-05-09,1620424800000,42166
2021-05-08,1620338400000,41781
2021-05-07,1620252000000,41439
2021-05-06,1620165600000,41143
2021-05-05,1620079200000,40792
2021-05-04,1619992800000,40524
2021-05-03,1619906400000,40464
2021-05-02,1619820000000,40384
2021-05-01,1619733600000,40121
2021-04-30,1619647200000,39922
2021-04-29,1619560800000,39722
2021-04-28,1619474400000,39627
2021-04-27,1619388000000,39442
2021-04-26,1619301600000,39367
2021-04-25,1619215200000,39257
2021-04-24,1619128800000,39065
2021-04-23,1619042400000,38864
