,ID,Cases
0,1584482400000,2
1,1584568800000,5
2,1584655200000,11
3,1584741600000,13
4,1584828000000,14
5,1585087200000,15
6,1585173600000,16
7,1585260000000,18
8,1585692000000,19
9,1586210400000,22
10,1586383200000,24
11,1586728800000,25
12,1587074400000,28
13,1587247200000,29
14,1587506400000,30
15,1587592800000,31
16,1587679200000,33
17,1587852000000,34
18,1588024800000,36
19,1588456800000,37
20,1588629600000,38
21,1588716000000,41
22,1588802400000,43
23,1588888800000,47
24,1588975200000,51
25,1589061600000,55
26,1589148000000,56
27,1589234400000,57
28,1589320800000,58
29,1589407200000,64
30,1589493600000,70
31,1589580000000,72
32,1589666400000,73
33,1589839200000,74
34,1589925600000,79
35,1590012000000,83
36,1590098400000,90
37,1590184800000,101
38,1590271200000,110
39,1590357600000,114
40,1590444000000,177
41,1590530400000,191
42,1590616800000,214
43,1590703200000,245
44,1590789600000,263
45,1590876000000,268
46,1590962400000,276
47,1591048800000,323
48,1591135200000,369
49,1591221600000,418
50,1591308000000,465
51,1591394400000,533
52,1591480800000,577
53,1591567200000,603
54,1591653600000,686
55,1591740000000,787
56,1591826400000,901
57,1591912800000,1030
58,1591999200000,1139
59,1592085600000,1240
60,1592172000000,1302
61,1592258400000,1528
62,1592344800000,1621
63,1592431200000,1811
64,1592517600000,2018
65,1592604000000,2240
66,1592690400000,2391
67,1592776800000,2478
68,1592863200000,2774
69,1592949600000,3131
70,1593036000000,3461
71,1593122400000,3774
72,1593208800000,4109
73,1593295200000,4284
74,1593381600000,4435
75,1593468000000,4930
76,1593554400000,5474
77,1593640800000,6048
78,1593727200000,6495
79,1593813600000,6881
80,1593900000000,7100
81,1593986400000,7271
82,1594072800000,7943
83,1594159200000,8657
84,1594245600000,9235
85,1594332000000,9811
86,1594418400000,10453
87,1594504800000,10798
88,1594591200000,10958
89,1594677600000,11703
90,1594764000000,12416
91,1594850400000,12980
92,1594936800000,13517
93,1595023200000,14155
94,1595109600000,14417
95,1595196000000,14572
96,1595282400000,15285
97,1595368800000,15965
98,1595455200000,16590
99,1595541600000,17046
100,1595628000000,17468
101,1595714400000,17694
102,1595800800000,17806
103,1595887200000,18343
104,1595973600000,18832
105,1596060000000,19237
106,1596146400000,19670
107,1596232800000,20040
108,1596319200000,20158
109,1596405600000,20245
110,1596492000000,20665
111,1596578400000,21072
112,1596664800000,21373
113,1596751200000,21666
114,1596837600000,21888
115,1596924000000,22000
116,1597010400000,22086
117,1597096800000,22164
118,1597183200000,22511
119,1597269600000,22801
120,1597356000000,23044
121,1597442400000,23248
122,1597528800000,23334
123,1597615200000,23396
124,1597701600000,23649
125,1597788000000,23851
126,1597874400000,24034
127,1597960800000,24194
128,1598047200000,24363
129,1598133600000,24412
130,1598220000000,24445
131,1598306400000,24706
132,1598392800000,24859
133,1598479200000,25043
134,1598565600000,25213
135,1598652000000,25375
136,1598738400000,25417
137,1598824800000,25442
138,1598911200000,25623
139,1598997600000,25815
140,1599084000000,25981
141,1599170400000,26142
142,1599256800000,26306
143,1599343200000,26345
144,1599429600000,26372
145,1599516000000,26590
146,1599602400000,26773
147,1599688800000,26935
148,1599775200000,27084
149,1599861600000,27269
150,1599948000000,27328
151,1600034400000,27347
152,1600120800000,27551
153,1600207200000,27742
154,1600293600000,27886
155,1600380000000,28020
156,1600466400000,28220
157,1600552800000,28271
158,1600639200000,28312
159,1600725600000,28539
160,1600812000000,28687
161,1600898400000,28879
162,1600984800000,28903
163,1601071200000,29081
164,1601157600000,29126
165,1601244000000,29169
166,1601330400000,29347
167,1601416800000,29542
168,1601503200000,29693
169,1601589600000,29870
170,1601676000000,30035
171,1601762400000,30081
172,1601848800000,30107
173,1601935200000,30338
174,1602021600000,30514
175,1602108000000,30661
176,1602194400000,30819
177,1602280800000,30977
178,1602367200000,31051
179,1602453600000,31071
180,1602540000000,31231
181,1602626400000,31478
182,1602712800000,31647
183,1602799200000,31784
184,1602885600000,31937
185,1602972000000,31992
186,1603058400000,32017
187,1603144800000,32247
188,1603231200000,32416
189,1603317600000,32593
190,1603404000000,32726
191,1603490400000,32826
192,1603576800000,32882
193,1603663200000,32904
194,1603749600000,33052
195,1603836000000,33183
196,1603922400000,33297
197,1604008800000,33426
198,1604095200000,33517
199,1604181600000,33542
200,1604268000000,33557
201,1604354400000,33646
202,1604440800000,33718
203,1604527200000,33779
204,1604613600000,33855
205,1604700000000,33923
206,1604786400000,33944
207,1604872800000,33954
208,1604959200000,34086
209,1605045600000,34165
