,ID,Cases
0,1584568800000,1
1,1584828000000,2
2,1585087200000,4
3,1585173600000,5
4,1585260000000,6
5,1585519200000,7
6,1585692000000,9
7,1585951200000,11
8,1586210400000,15
9,1586469600000,16
10,1587592800000,17
11,1588284000000,23
12,1588456800000,24
13,1588543200000,26
14,1588716000000,27
15,1588802400000,28
16,1588888800000,29
17,1588975200000,30
18,1589061600000,31
19,1589234400000,32
20,1589320800000,36
21,1589493600000,38
22,1589580000000,39
23,1589839200000,40
24,1589925600000,42
25,1590012000000,43
26,1590098400000,45
27,1590184800000,49
28,1590271200000,53
29,1590444000000,55
30,1590530400000,65
31,1590616800000,74
32,1590703200000,79
33,1590789600000,93
34,1590876000000,96
35,1590962400000,99
36,1591048800000,102
37,1591135200000,105
38,1591221600000,113
39,1591308000000,124
40,1591394400000,129
41,1591480800000,130
42,1591567200000,132
43,1591653600000,140
44,1591740000000,143
45,1591826400000,152
46,1591912800000,167
47,1591999200000,211
48,1592085600000,214
49,1592258400000,222
50,1592431200000,232
51,1592517600000,262
52,1592604000000,282
53,1592690400000,288
54,1592776800000,293
55,1592863200000,329
56,1592949600000,350
57,1593036000000,378
58,1593122400000,456
59,1593208800000,541
60,1593295200000,562
61,1593381600000,581
62,1593468000000,621
63,1593554400000,676
64,1593640800000,718
65,1593727200000,851
66,1593813600000,970
67,1593900000000,1007
68,1593986400000,1037
69,1594072800000,1156
70,1594159200000,1285
71,1594245600000,1431
72,1594332000000,1567
73,1594418400000,1744
74,1594504800000,1796
75,1594591200000,1820
76,1594677600000,1977
77,1594764000000,2201
78,1594850400000,2384
79,1594936800000,2545
80,1595023200000,2765
81,1595109600000,2827
82,1595196000000,2880
83,1595282400000,3153
84,1595368800000,3405
85,1595455200000,3683
86,1595541600000,3955
87,1595628000000,4175
88,1595714400000,4263
89,1595800800000,4315
90,1595887200000,4517
91,1595973600000,4829
92,1596060000000,5139
93,1596146400000,5361
94,1596232800000,5583
95,1596319200000,5659
96,1596405600000,5735
97,1596492000000,6065
98,1596578400000,6260
99,1596664800000,6535
100,1596751200000,6724
101,1596837600000,7010
102,1596924000000,7159
103,1597010400000,7205
104,1597096800000,7349
105,1597183200000,7590
106,1597269600000,7858
107,1597356000000,8062
108,1597442400000,8264
109,1597528800000,8322
110,1597615200000,8374
111,1597701600000,8618
112,1597788000000,8843
113,1597874400000,9010
114,1597960800000,9220
115,1598047200000,9534
116,1598133600000,9605
117,1598220000000,9654
118,1598306400000,9921
119,1598392800000,10170
120,1598479200000,10356
121,1598565600000,10532
122,1598652000000,10707
123,1598738400000,10847
124,1598824800000,10925
125,1598911200000,11144
126,1598997600000,11486
127,1599084000000,11683
128,1599170400000,11909
129,1599256800000,12135
130,1599343200000,12244
131,1599429600000,12280
132,1599516000000,12486
133,1599602400000,12770
134,1599688800000,13032
135,1599775200000,13237
136,1599861600000,13560
137,1599948000000,13674
138,1600034400000,13733
139,1600120800000,13985
140,1600207200000,14280
141,1600293600000,14584
142,1600380000000,14873
143,1600466400000,15173
144,1600552800000,15275
145,1600639200000,15365
146,1600725600000,15650
147,1600812000000,15910
148,1600898400000,16172
149,1600984800000,16232
150,1601071200000,16429
151,1601157600000,16567
152,1601244000000,16670
153,1601330400000,16931
154,1601416800000,17224
155,1601503200000,17536
156,1601589600000,17763
157,1601676000000,17993
158,1601762400000,18060
159,1601848800000,18109
160,1601935200000,18381
161,1602021600000,18561
162,1602108000000,18858
163,1602194400000,19073
164,1602280800000,19288
165,1602367200000,19350
166,1602453600000,19416
167,1602540000000,19615
168,1602626400000,19832
169,1602712800000,20088
170,1602799200000,20252
171,1602885600000,20461
172,1602972000000,20530
173,1603058400000,20569
174,1603144800000,20813
175,1603231200000,21037
176,1603317600000,21179
177,1603404000000,21343
178,1603490400000,21452
179,1603576800000,21474
180,1603663200000,21484
181,1603749600000,21641
182,1603836000000,21773
183,1603922400000,21868
184,1604008800000,21945
185,1604095200000,22044
186,1604181600000,22059
187,1604268000000,22071
188,1604354400000,22154
189,1604440800000,22235
190,1604527200000,22293
191,1604613600000,22349
192,1604700000000,22394
193,1604786400000,22412
194,1604872800000,22422
195,1604959200000,22528
196,1605045600000,22582
197,1605132000000,22616
198,1605218400000,22681
199,1605304800000,22734
200,1605391200000,22754
201,1605477600000,22764
202,1605564000000,22806
203,1605650400000,22855
204,1605736800000,22885
205,1605823200000,22932
206,1605909600000,22959
207,1605996000000,22967
208,1606082400000,22975
209,1606168800000,23032
210,1606255200000,23085
211,1606341600000,23123
212,1606428000000,23158
213,1606514400000,23184
214,1606600800000,23195
215,1606687200000,23199
216,1606773600000,23285
217,1606860000000,23344
218,1606946400000,23375
219,1607032800000,23425
220,1607119200000,23451
221,1607205600000,23462
222,1607292000000,23471
223,1607378400000,23522
224,1607464800000,23589
225,1607551200000,23644
226,1607637600000,23694
227,1607724000000,23758
228,1607810400000,23773
229,1607896800000,23779
230,1607983200000,23886
231,1608069600000,23984
232,1608156000000,24010
233,1608242400000,24097
234,1608328800000,24218
235,1608415200000,24243
236,1608501600000,24279
237,1608588000000,24417
238,1608674400000,24549
239,1608760800000,24706
240,1608847200000,24830
241,1608933600000,24859
242,1609020000000,24903
243,1609106400000,24933
244,1609192800000,25181
245,1609279200000,25438
246,1609365600000,25661
247,1609452000000,25900
248,1609538400000,25957
249,1609624800000,26015
250,1609711200000,26057
251,1609797600000,26364
252,1609884000000,26781
253,1609970400000,27139
254,1610056800000,27489
255,1610143200000,27918
256,1610229600000,28010
257,1610316000000,28083
258,1610402400000,28444
259,1610488800000,28813
260,1610575200000,29159
261,1610661600000,29460
262,1610748000000,29779
263,1610834400000,29918
264,1610920800000,29963
265,1611007200000,30192
266,1611093600000,30449
267,1611180000000,30668
268,1611266400000,30842
269,1611352800000,31065
270,1611439200000,31139
271,1611525600000,31187
272,1611612000000,31400
273,1611698400000,31636
274,1611784800000,31751
275,1611871200000,31898
276,1611957600000,32026
277,1612044000000,32052
278,1612130400000,32069
279,1612216800000,32192
280,1612303200000,32321
281,1612389600000,32432
282,1612476000000,32525
283,1612562400000,32638
284,1612648800000,32655
285,1612735200000,32675
286,1612821600000,32784
287,1612908000000,32874
288,1612994400000,32955
289,1613080800000,33035
290,1613167200000,33114
291,1613253600000,33140
292,1613340000000,33153
293,1613426400000,33248
294,1613512800000,33347
295,1613599200000,33429
296,1613685600000,33501
297,1613772000000,33583
298,1613858400000,33617
299,1613944800000,33626
300,1614031200000,33716
301,1614117600000,33802
302,1614204000000,33895
303,1614290400000,33949
304,1614376800000,34021
305,1614463200000,34043
306,1614549600000,34051
307,1614636000000,34137
308,1614722400000,34201
309,1614808800000,34256
310,1614895200000,34317
311,1614981600000,34371
312,1615068000000,34382
313,1615154400000,34390
314,1615240800000,34501
315,1615327200000,34580
316,1615413600000,34633
317,1615500000000,34735
318,1615586400000,34911
319,1615672800000,34936
320,1615759200000,34948
321,1615845600000,35082
322,1615932000000,35206
323,1616018400000,35333
324,1616104800000,35476
325,1616191200000,35622
326,1616277600000,35650
327,1616364000000,35664
328,1616450400000,35678
329,1616536800000,35796
330,1616623200000,35950
331,1616709600000,36027
332,1616796000000,36095
333,1616882400000,36130
334,1616968800000,36142
335,1617055200000,36230
336,1617141600000,36345
337,1617228000000,36441
338,1617314400000,36541
339,1617400800000,36572
340,1617487200000,36587
341,1617573600000,36611
342,1617660000000,36644
343,1617746400000,36730
344,1617832800000,36847
345,1617919200000,36942
346,1618005600000,37067
347,1618092000000,37108
348,1618178400000,37146
349,1618264800000,37330
350,1618351200000,37489
351,1618437600000,37646
352,1618524000000,37805
353,1618610400000,37977
354,1618696800000,38113
355,1618783200000,38162
356,1618869600000,38355
357,1618956000000,38582
358,1619042400000,38864
359,1619128800000,39065
360,1619215200000,39257
361,1619301600000,39367
362,1619388000000,39442
363,1619474400000,39627
364,1619560800000,39722
365,1619647200000,39922
366,1619733600000,40121
367,1619820000000,40384
368,1619906400000,40464
369,1619992800000,40524
370,1620079200000,40792
371,1620165600000,41143
372,1620252000000,41439
373,1620338400000,41781
374,1620424800000,42166
375,1620511200000,42338
376,1620597600000,42424
377,1620684000000,42813
378,1620770400000,43288
379,1620856800000,43738
380,1620943200000,44138
381,1621029600000,44697
382,1621116000000,44945
383,1621202400000,45112
384,1621288800000,45532
385,1621375200000,46007
386,1621461600000,46438
387,1621548000000,46938
388,1621634400000,47713
389,1621720800000,47940
390,1621807200000,48143
391,1621893600000,48526
392,1621980000000,49093
393,1622066400000,49554
394,1622152800000,50040
395,1622239200000,50523
396,1622325600000,50938
397,1622412000000,51035
398,1622498400000,51401
399,1622584800000,51861
400,1622671200000,52146
401,1622757600000,52483
402,1622844000000,52874
403,1622930400000,53002
404,1623016800000,53091
405,1623103200000,53455
406,1623189600000,53831
407,1623276000000,54243
408,1623362400000,54583
409,1623448800000,54953
410,1623535200000,55098
411,1623621600000,55195
412,1623708000000,55532
413,1623794400000,55948
414,1623880800000,56105
415,1623967200000,56477
416,1624053600000,56877
417,1624140000000,57014
418,1624226400000,57112
419,1624312800000,57408
420,1624399200000,57807
421,1624485600000,58080
422,1624572000000,58365
423,1624658400000,58624
424,1624744800000,58739
425,1624831200000,58781
426,1624917600000,59013
427,1625004000000,59265
428,1625090400000,59519
429,1625176800000,59882
430,1625263200000,60176
431,1625349600000,60330
432,1625436000000,60381
433,1625522400000,60680
434,1625608800000,60973
435,1625695200000,61283
436,1625781600000,61547
437,1625868000000,61837
438,1625954400000,61923
439,1626040800000,61965
440,1626127200000,62247
441,1626213600000,62652
442,1626300000000,62938
443,1626386400000,63210
444,1626472800000,63481
445,1626559200000,63560
446,1626645600000,63634
447,1626732000000,64033
448,1626818400000,64442
449,1626904800000,64803
450,1626991200000,65108
451,1627077600000,65442
452,1627164000000,65502
453,1627250400000,65577
454,1627336800000,66012
455,1627423200000,66507
456,1627509600000,66991
457,1627596000000,67476
458,1627682400000,67957
459,1627768800000,68085
460,1627855200000,68153
461,1627941600000,68622
462,1628028000000,69155
463,1628114400000,69705
464,1628200800000,70199
465,1628287200000,70699
466,1628373600000,70910
467,1628460000000,70985
468,1628546400000,71056
469,1628632800000,71639
470,1628719200000,72341
471,1628805600000,73130
472,1628892000000,73773
473,1628978400000,74266
474,1629064800000,74353
475,1629151200000,75027
476,1629237600000,75767
477,1629324000000,76332
478,1629410400000,77006
479,1629496800000,77584
480,1629583200000,77984
481,1629669600000,78347
482,1629756000000,78888
483,1629842400000,79680
484,1629928800000,80241
485,1630015200000,80888
486,1630101600000,81333
487,1630188000000,81543
488,1630274400000,81704
489,1630360800000,82335
490,1630447200000,82912
491,1630533600000,83383
492,1630620000000,83972
493,1630706400000,84488
494,1630792800000,84653
495,1630879200000,84744
496,1630965600000,85197
497,1631052000000,85637
498,1631138400000,86119
499,1631224800000,86536
500,1631311200000,86977
501,1631397600000,87192
502,1631484000000,87258
503,1631570400000,87592
504,1631656800000,88057
505,1631743200000,88388
506,1631829600000,88668
507,1631916000000,88939
508,1632002400000,89114
509,1632088800000,89143
510,1632175200000,89444
511,1632261600000,89789
512,1632348000000,90087
513,1632434400000,90360
514,1632520800000,90428
515,1632607200000,90454
516,1632693600000,90478
517,1632780000000,90684
518,1632866400000,90860
519,1632952800000,91014
520,1633039200000,91128
521,1633125600000,91244
522,1633212000000,91280
523,1633298400000,91299
524,1633384800000,91418
525,1633471200000,91496
526,1633557600000,91566
527,1633644000000,91656
528,1633730400000,91753
529,1633816800000,91771
530,1633903200000,91780
531,1633989600000,91905
532,1634076000000,91989
533,1634162400000,92042
534,1634248800000,92101
535,1634335200000,92158
536,1634421600000,92173
537,1634508000000,92185
538,1634594400000,92242
539,1634680800000,92298
540,1634767200000,92344
541,1634853600000,92391
542,1634940000000,92428
543,1635026400000,92434
544,1635112800000,92447
545,1635199200000,92497
546,1635285600000,92549
547,1635372000000,92591
548,1635458400000,92627
549,1635544800000,92651
550,1635631200000,92661
551,1635717600000,92665
552,1635804000000,92673
553,1635890400000,92700
554,1635976800000,92721
555,1636063200000,92745
556,1636149600000,92768
557,1636236000000,92776
558,1636322400000,92780
559,1636408800000,92811
560,1636495200000,92841
561,1636581600000,92879
562,1636668000000,92904
563,1636754400000,92930
564,1636840800000,92936
565,1636927200000,92941
566,1637013600000,92958
567,1637100000000,92969
568,1637186400000,92984
569,1637272800000,93038
570,1637359200000,93151
571,1637445600000,93158
572,1637532000000,93163
573,1637618400000,93190
574,1637704800000,93215
575,1637791200000,93245
576,1637877600000,93292
577,1637964000000,93321
578,1638050400000,93330
579,1638136800000,93333
580,1638223200000,93370
581,1638309600000,93409
582,1638396000000,93532
583,1638482400000,93621
584,1638568800000,93703
585,1638655200000,93742
586,1638741600000,93777
587,1638828000000,93944
588,1638914400000,94138
589,1639000800000,94358
590,1639087200000,94719
591,1639173600000,95128
592,1639260000000,95411
593,1639346400000,95526
594,1639432800000,95988
595,1639519200000,96679
596,1639605600000,97214
597,1639692000000,97524
598,1639778400000,98091
599,1639864800000,98388
600,1639951200000,98556
601,1640037600000,99250
602,1640124000000,99695
603,1640210400000,100134
604,1640296800000,100630
605,1640383200000,100980
606,1640469600000,101061
607,1640556000000,101141
608,1640642400000,101220
609,1640728800000,101605
610,1640815200000,101959
611,1640901600000,102279
612,1640988000000,102538
613,1641074400000,102593
614,1641160800000,102657
615,1641247200000,102793
