,ID,Cases
0,1583877600000,1
1,1583964000000,3
2,1584050400000,9
3,1584136800000,14
4,1584223200000,17
5,1584309600000,19
6,1584396000000,52
7,1584482400000,78
8,1584568800000,109
9,1584655200000,142
10,1584741600000,168
11,1584828000000,190
12,1584914400000,194
13,1585000800000,239
14,1585087200000,263
15,1585173600000,287
16,1585260000000,311
17,1585346400000,332
18,1585432800000,346
19,1585519200000,352
20,1585605600000,380
21,1585692000000,399
22,1585778400000,418
23,1585864800000,435
24,1585951200000,460
25,1586037600000,472
26,1586124000000,490
27,1586210400000,503
28,1586296800000,525
29,1586383200000,567
30,1586469600000,619
31,1586556000000,638
32,1586642400000,651
33,1586728800000,664
34,1586815200000,673
35,1586901600000,702
36,1586988000000,738
37,1587074400000,854
38,1587160800000,961
39,1587247200000,1028
40,1587333600000,1075
41,1587420000000,1194
42,1587506400000,1423
43,1587592800000,1586
44,1587679200000,1791
45,1587765600000,1983
46,1587852000000,2136
47,1587938400000,2282
48,1588024800000,2399
49,1588111200000,2624
50,1588197600000,2914
51,1588284000000,3152
52,1588370400000,3354
53,1588456800000,3573
54,1588543200000,3828
55,1588629600000,4346
56,1588716000000,5036
57,1588802400000,5753
58,1588888800000,6394
59,1588975200000,7022
60,1589061600000,7696
61,1589148000000,8279
62,1589234400000,9087
63,1589320800000,10052
64,1589407200000,10953
65,1589493600000,11845
66,1589580000000,12647
67,1589666400000,13317
68,1589752800000,13929
69,1589839200000,15030
70,1589925600000,16248
71,1590012000000,17512
72,1590098400000,18678
73,1590184800000,19814
74,1590271200000,20662
75,1590357600000,21118
76,1590444000000,22228
77,1590530400000,23419
78,1590616800000,24672
79,1590703200000,26027
80,1590789600000,27493
81,1590876000000,28470
82,1590962400000,29239
83,1591048800000,30680
84,1591135200000,32204
85,1591221600000,33695
86,1591308000000,35055
87,1591394400000,36435
88,1591480800000,37430
89,1591567200000,38190
90,1591653600000,39516
91,1591740000000,41035
92,1591826400000,42318
93,1591912800000,43566
94,1591999200000,44823
95,1592085600000,45470
96,1592172000000,45784
97,1592258400000,47511
98,1592344800000,48025
99,1592431200000,49499
100,1592517600000,51115
101,1592604000000,52646
102,1592690400000,53465
103,1592776800000,53956
104,1592863200000,55716
105,1592949600000,57450
106,1593036000000,59164
107,1593122400000,60752
108,1593208800000,62280
109,1593295200000,62929
110,1593381600000,63371
111,1593468000000,65233
112,1593554400000,66982
113,1593640800000,68535
114,1593727200000,70038
115,1593813600000,71610
116,1593900000000,72400
117,1593986400000,72915
118,1594072800000,74408
119,1594159200000,75881
120,1594245600000,77173
121,1594332000000,78386
122,1594418400000,79607
123,1594504800000,80251
124,1594591200000,80521
125,1594677600000,81634
126,1594764000000,82742
127,1594850400000,83881
128,1594936800000,84951
129,1595023200000,85987
130,1595109600000,86554
131,1595196000000,86926
132,1595282400000,88102
133,1595368800000,89255
134,1595455200000,90372
135,1595541600000,91437
136,1595628000000,92412
137,1595714400000,92804
138,1595800800000,93015
139,1595887200000,93961
140,1595973600000,94805
141,1596060000000,95667
142,1596146400000,96372
143,1596232800000,96983
144,1596319200000,97212
145,1596405600000,97334
146,1596492000000,98120
147,1596578400000,98699
148,1596664800000,99226
149,1596751200000,99739
150,1596837600000,100176
151,1596924000000,100336
152,1597010400000,100469
153,1597096800000,100593
154,1597183200000,101166
155,1597269600000,101699
156,1597356000000,102111
157,1597442400000,102561
158,1597528800000,102770
159,1597615200000,102854
160,1597701600000,103303
161,1597788000000,103715
162,1597874400000,104019
163,1597960800000,104381
164,1598047200000,104703
165,1598133600000,104799
166,1598220000000,104855
167,1598306400000,105226
168,1598392800000,105537
169,1598479200000,105801
170,1598565600000,106008
171,1598652000000,106202
172,1598738400000,106283
173,1598824800000,106334
174,1598911200000,106596
175,1598997600000,106820
176,1599084000000,107038
177,1599170400000,107234
178,1599256800000,107428
179,1599343200000,107497
180,1599429600000,107534
181,1599516000000,107823
182,1599602400000,108053
183,1599688800000,108224
184,1599775200000,108443
185,1599861600000,108622
186,1599948000000,108672
187,1600034400000,108718
188,1600120800000,108953
189,1600207200000,109132
190,1600293600000,109324
191,1600380000000,109515
192,1600466400000,109703
193,1600552800000,109754
194,1600639200000,109780
195,1600725600000,110003
196,1600812000000,110235
197,1600898400000,110422
198,1600984800000,110464
199,1601071200000,110632
200,1601157600000,110678
201,1601244000000,110716
202,1601330400000,110919
203,1601416800000,111082
204,1601503200000,111251
205,1601589600000,111454
206,1601676000000,111663
207,1601762400000,111727
208,1601848800000,111770
209,1601935200000,112052
210,1602021600000,112262
211,1602108000000,112519
212,1602194400000,112804
213,1602280800000,113117
214,1602367200000,113220
215,1602453600000,113248
216,1602540000000,113584
217,1602626400000,113886
218,1602712800000,114141
219,1602799200000,114376
220,1602885600000,114639
221,1602972000000,114711
222,1603058400000,114781
223,1603144800000,115114
224,1603231200000,115446
225,1603317600000,115720
226,1603404000000,116069
227,1603490400000,116373
228,1603576800000,116467
229,1603663200000,116511
230,1603749600000,116787
231,1603836000000,117044
232,1603922400000,117281
233,1604008800000,117560
234,1604095200000,117813
235,1604181600000,117909
236,1604268000000,117945
237,1604354400000,118279
238,1604440800000,118594
