Date,ID,Cases
2022-05-21,1653084000000,56945
2022-05-20,1652997600000,56919
2022-05-19,1652911200000,56851
2022-05-18,1652824800000,56776
2022-05-17,1652738400000,56704
2022-05-16,1652652000000,56590
2022-05-15,1652565600000,56557
2022-05-14,1652479200000,56509
2022-05-13,1652392800000,56416
2022-05-12,1652306400000,56302
2022-05-11,1652220000000,56163
2022-05-10,1652133600000,56041
2022-05-09,1652047200000,55891
2022-05-08,1651960800000,55848
2022-05-07,1651874400000,55801
2022-05-06,1651788000000,55686
2022-05-05,1651701600000,55564
2022-05-04,1651615200000,55419
2022-05-03,1651528800000,55260
2022-05-02,1651442400000,55224
2022-05-01,1651356000000,55192
2022-04-30,1651269600000,55141
2022-04-29,1651183200000,55060
2022-04-28,1651096800000,54959
2022-04-27,1651010400000,54913
2022-04-26,1650924000000,54785
2022-04-25,1650837600000,54649
2022-04-24,1650751200000,54615
2022-04-23,1650664800000,54586
2022-04-22,1650578400000,54500
2022-04-21,1650492000000,54416
2022-04-20,1650405600000,54358
2022-04-19,1650319200000,54277
2022-04-18,1650232800000,54241
2022-04-17,1650146400000,54238
2022-04-16,1650060000000,54231
2022-04-15,1649973600000,54220
2022-04-14,1649887200000,54188
2022-04-13,1649800800000,54163
2022-04-12,1649714400000,54132
2022-04-11,1649628000000,54109
2022-04-10,1649541600000,54104
2022-04-09,1649455200000,54090
2022-04-08,1649368800000,54076
2022-04-07,1649282400000,54064
2022-04-06,1649196000000,54047
2022-04-05,1649109600000,54017
2022-04-04,1649023200000,53990
2022-04-03,1648936800000,53983
2022-04-02,1648850400000,53975
2022-04-01,1648764000000,53965
2022-03-31,1648677600000,53949
2022-03-30,1648591200000,53922
2022-03-29,1648504800000,53891
2022-03-28,1648418400000,53863
2022-03-27,1648332000000,53856
2022-03-26,1648245600000,53847
2022-03-25,1648159200000,53828
2022-03-24,1648072800000,53805
2022-03-23,1647986400000,53754
2022-03-22,1647900000000,53711
2022-03-21,1647813600000,53702
2022-03-20,1647727200000,53687
